f	CL
 (6.700000000000000000e+01+0.000000000000000000e+00j)	 (-9.035314894817200390e-03+2.637809637303803012e-04j)
 (6.800000000000000000e+01+0.000000000000000000e+00j)	 (-8.766505827147717464e-03+2.659170929928976793e-04j)
 (6.900000000000000000e+01+0.000000000000000000e+00j)	 (-8.510128529096971581e-03+2.636466200370291826e-04j)
 (6.950000000000000000e+01+0.000000000000000000e+00j)	 (-8.387125548116063437e-03+2.652172555262381813e-04j)
 (7.050000000000000000e+01+0.000000000000000000e+00j)	 (-8.147215830732093544e-03+2.646182989003930904e-04j)
 (7.150000000000000000e+01+0.000000000000000000e+00j)	 (-7.918085350987919338e-03+2.641409917101996394e-04j)
 (7.200000000000000000e+01+0.000000000000000000e+00j)	 (-7.806395444091022463e-03+2.628909284557715735e-04j)
 (7.300000000000000000e+01+0.000000000000000000e+00j)	 (-7.592204960347160268e-03+2.630542428958654549e-04j)
 (7.400000000000000000e+01+0.000000000000000000e+00j)	 (-7.385822222739735730e-03+2.605866559143111346e-04j)
 (7.500000000000000000e+01+0.000000000000000000e+00j)	 (-7.187577161372437663e-03+2.612733003400219130e-04j)
 (7.550000000000000000e+01+0.000000000000000000e+00j)	 (-7.092257037758587304e-03+2.597823664799252513e-04j)
 (7.650000000000000000e+01+0.000000000000000000e+00j)	 (-6.904964328648781346e-03+2.591405693384197682e-04j)
 (7.750000000000000000e+01+0.000000000000000000e+00j)	 (-6.725727339547624313e-03+2.579685893170624014e-04j)
 (7.800000000000000000e+01+0.000000000000000000e+00j)	 (-6.638892798508080374e-03+2.569968507973724990e-04j)
 (7.900000000000000000e+01+0.000000000000000000e+00j)	 (-6.469774295837839653e-03+2.559627884072251253e-04j)
 (8.000000000000000000e+01+0.000000000000000000e+00j)	 (-6.307442464245042492e-03+2.550101269952231072e-04j)
 (8.050000000000000000e+01+0.000000000000000000e+00j)	 (-6.228492517008262994e-03+2.543654320791351067e-04j)
 (8.150000000000000000e+01+0.000000000000000000e+00j)	 (-6.074761531169696471e-03+2.526499553628541207e-04j)
 (8.250000000000000000e+01+0.000000000000000000e+00j)	 (-5.927128973621096329e-03+2.514829861062018238e-04j)
 (8.350000000000000000e+01+0.000000000000000000e+00j)	 (-5.783558828746345262e-03+2.503691958461533285e-04j)
 (8.400000000000000000e+01+0.000000000000000000e+00j)	 (-5.715616474034500641e-03+2.490742604267412149e-04j)
 (8.500000000000000000e+01+0.000000000000000000e+00j)	 (-5.580401957494150397e-03+2.474779896269222552e-04j)
 (8.650000000000000000e+01+0.000000000000000000e+00j)	 (-5.385861862541376464e-03+2.465653635306978625e-04j)
 (8.950000000000000000e+01+0.000000000000000000e+00j)	 (-5.027102105993594416e-03+2.418620500554431577e-04j)
 (9.300000000000000000e+01+0.000000000000000000e+00j)	 (-4.653632093142133323e-03+2.361061203409559018e-04j)
 (9.650000000000000000e+01+0.000000000000000000e+00j)	 (-4.318150226671093987e-03+2.312211876715905220e-04j)
 (1.000000000000000000e+02+0.000000000000000000e+00j)	 (-4.019193232835839048e-03+2.251212701802642578e-04j)
