f	max_sigma_G1	max_sigma_G2	max_sigma_G1_G2
1.490000000000000000e+02	7.706697520348074249e+03	3.213580374790376282e-01	1.751911740703860687e+03
1.510000000000000000e+02	7.553921000591857592e+03	3.150008485304474637e-01	1.683227424659867893e+03
1.520000000000000000e+02	7.479775809709538407e+03	3.119156035597089316e-01	1.650320401944710738e+03
1.530000000000000000e+02	7.407067944440945212e+03	3.088901794688523883e-01	1.618522522365671193e+03
1.550000000000000000e+02	7.265799984292258159e+03	3.030119700911766967e-01	1.557393114195447197e+03
1.560000000000000000e+02	7.197161659418418822e+03	3.001559334534895651e-01	1.528139267384442292e+03
1.570000000000000000e+02	7.129804054849884778e+03	2.973532090079868961e-01	1.499700739462663705e+03
1.590000000000000000e+02	6.998790068598196740e+03	2.919018376790617486e-01	1.445152378810669916e+03
1.600000000000000000e+02	6.935066420902591744e+03	2.892503941621518693e-01	1.418986480114200049e+03
1.610000000000000000e+02	6.872488845289462006e+03	2.866466647936737888e-01	1.393523987548714786e+03
1.620000000000000000e+02	6.811026658321299692e+03	2.840893736086412269e-01	1.368740327753775091e+03
1.640000000000000000e+02	6.691331093581011373e+03	2.791092253296416081e-01	1.321114293493567857e+03
1.650000000000000000e+02	6.633041589368790483e+03	2.766840338961214507e-01	1.298227066918984292e+03
1.660000000000000000e+02	6.575755132368874001e+03	2.743006083233818782e-01	1.275929088950539381e+03
1.680000000000000000e+02	6.464089405173485829e+03	2.696548136832050413e-01	1.233020781343070666e+03
1.690000000000000000e+02	6.409661299354032053e+03	2.673904130129040047e-01	1.212372984340272978e+03
1.710000000000000000e+02	6.303498567117852872e+03	2.629737773687167990e-01	1.172601534365692942e+03
1.720000000000000000e+02	6.251719807913718796e+03	2.608197061569250685e-01	1.153444716595715818e+03
1.730000000000000000e+02	6.200781227913649673e+03	2.587006248716808843e-01	1.134752992610568981e+03
1.750000000000000000e+02	6.101343989981924096e+03	2.545640774812088503e-01	1.098705287687428154e+03
1.760000000000000000e+02	6.052806624070284670e+03	2.525450005280757138e-01	1.081321062133565420e+03
1.770000000000000000e+02	6.005031970532853848e+03	2.505576897162218875e-01	1.064345674658167582e+03
1.790000000000000000e+02	5.911699889162458021e+03	2.466754151872995460e-01	1.031570444085140025e+03
1.800000000000000000e+02	5.866108368906307987e+03	2.447790324753170155e-01	1.015746749196203950e+03
1.810000000000000000e+02	5.821211334765463107e+03	2.429115761877917723e-01	1.000283808654728432e+03
1.830000000000000000e+02	5.733438098188991717e+03	2.392608360223207886e-01	9.703964852555423022e+02
1.840000000000000000e+02	5.690531751239233017e+03	2.374762972791401583e-01	9.559518937334282782e+02
1.860000000000000000e+02	5.606607561070378324e+03	2.339858835169174589e-01	9.280118018767886952e+02
1.870000000000000000e+02	5.565562163946715373e+03	2.322788613803312141e-01	9.144978754290863208e+02
1.880000000000000000e+02	5.525110194892014988e+03	2.305965586657265365e-01	9.012765555947948997e+02
1.900000000000000000e+02	5.445935704059424097e+03	2.273039949205774568e-01	8.756780015660932577e+02
1.910000000000000000e+02	5.407188664957265246e+03	2.256927130784481539e-01	8.632850058704500498e+02
1.920000000000000000e+02	5.368985993897652406e+03	2.241041079811159908e-01	8.511527746675252502e+02
1.940000000000000000e+02	5.294168416793834695e+03	2.209930401669380762e-01	8.276413184307409665e+02
1.950000000000000000e+02	5.257531623050939743e+03	2.194696660331127425e-01	8.162486135100834872e+02
1.970000000000000000e+02	5.185749537667312325e+03	2.164850516586330487e-01	7.941561468928327940e+02
1.980000000000000000e+02	5.150584101901515169e+03	2.150229725579629048e-01	7.834439178015652487e+02
1.990000000000000000e+02	5.115889425117405153e+03	2.135805050198738841e-01	7.729466131990891427e+02
