f	lambda_1	lambda_2	lambda_3	lambda_4	lambda_5	lambda_6	lambda_7	lambda_8	lambda_9	lambda_10	lambda_11	lambda_12	lambda_13	lambda_14	lambda_15
 (2.100000000000000000e+01+0.000000000000000000e+00j)	 (-1.427924027280520386e+04+1.644430327410297195e+03j)	 (-2.393762330129959537e+03-1.106778375745485477e+02j)	 (1.614236584499886931e+03-1.472496608641306750e+02j)	 (-6.366346460718737177e+01-3.683649124679817533e+00j)	 (1.498499621348071820e+01-2.444209347682384958e+00j)	 (-2.409355670579643172e-01-1.432988823246342525e-01j)	 (1.479327142246234829e-02+1.092284404697156514e-01j)	 (1.368485958083833637e-02-3.613747646403640129e-02j)	 (-4.243126356513710062e-02+2.731365088162683238e-02j)	 (2.932347059507497966e-03-2.404849415409693672e-02j)	 (-2.827144318716993954e-02+8.990173572703893598e-03j)	 (1.426401453451196094e-02-2.604412210721329668e-04j)	 (-4.771970880314180572e-05-3.819043507535199462e-04j)	 (-3.653134370074993531e-01+5.177056354099608404e-01j)	 (2.963353333918164337e-04+9.991871408456294221e-03j)
 (2.200000000000000000e+01+0.000000000000000000e+00j)	 (-1.530368983568652038e+04+1.827303186144745951e+03j)	 (-2.327779504853763228e+03-1.064034636543445487e+02j)	 (1.257744989293481012e+03-1.233438292141508583e+02j)	 (-6.088288838251006041e+01-3.574234130734607273e+00j)	 (1.537104055046839335e+01-2.334795941636587102e+00j)	 (-2.544981531688938481e-01-1.338142820712192038e-01j)	 (6.704111263383882857e-03+1.077889768846933549e-01j)	 (1.238267385872393600e-02-3.438917919608792950e-02j)	 (-4.128380653015196328e-02+2.594759073617064829e-02j)	 (1.793940907411697375e-03-2.391095702618143207e-02j)	 (-2.771747276011766320e-02+1.195363764977760285e-02j)	 (1.388975678495633220e-02+2.340075712752134657e-04j)	 (1.751664809138212540e-04-3.269796065740757183e-04j)	 (-4.023998256433419796e-01+5.619915462719994315e-01j)	 (4.738423942852817592e-04+9.638200801891731381e-03j)
 (2.300000000000000000e+01+0.000000000000000000e+00j)	 (-1.644194414551621594e+04+2.037925122791158401e+03j)	 (-2.264487267858019095e+03-1.023250816483356829e+02j)	 (1.037161760076555311e+03-1.077432943039834470e+02j)	 (-5.825692739334812131e+01-3.474885989180176438e+00j)	 (1.581548489964449189e+01-2.241526033525316652e+00j)	 (-2.672968684282930885e-01-1.234538516508086742e-01j)	 (-3.088469651925787162e-03+1.067479511896255312e-01j)	 (1.123673539133884444e-02-3.273242194936735322e-02j)	 (-4.028478539138177078e-02+2.461923253122543648e-02j)	 (6.514699012937625027e-04-2.368318820620341630e-02j)	 (-2.648706698010938956e-02+1.519009304994467686e-02j)	 (1.354193863329883687e-02+7.192387066786480815e-04j)	 (3.572215930031777181e-04-2.699530365077595657e-04j)	 (-4.435129843822474549e-01+6.107685503599690202e-01j)	 (6.170437807783724646e-04+9.312617546115455405e-03j)
 (2.400000000000000000e+01+0.000000000000000000e+00j)	 (-1.771141039569182612e+04+2.281814488195080230e+03j)	 (-2.203736507096747118e+03-9.843389283533524292e+01j)	 (8.875032900583648825e+02-9.698933924207408097e+01j)	 (-5.577314004844485851e+01-3.383612492947925876e+00j)	 (1.633123962090498793e+01-2.167637085948485254e+00j)	 (-2.792132472158249668e-01-1.122327378145233645e-01j)	 (-1.516793675946906568e-02+1.063997761769550771e-01j)	 (1.022272059668850007e-02-3.116355304719532412e-02j)	 (-3.941579579407210321e-02+2.333107620076340510e-02j)	 (-4.991166716428575107e-04-2.336633049559473305e-02j)	 (-2.421571233143256924e-02+1.850331395988516481e-02j)	 (1.321713365691744302e-02+1.185442270183251082e-03j)	 (5.047902031000614780e-04-2.122287906074739534e-04j)	 (-4.892743705874010862e-01+6.652471203835905733e-01j)	 (7.207873941918806031e-04+9.016686122624757022e-03j)
 (2.500000000000000000e+01+0.000000000000000000e+00j)	 (-1.913292250026140391e+04+2.565847838855595910e+03j)	 (-2.145388471826714522e+03-9.472160485531445318e+01j)	 (7.793795071917907080e+02-8.935556321684164516e+01j)	 (-5.342115136673653097e+01-3.299919142893871449e+00j)	 (1.693534353194209885e+01-2.119205863261595546e+00j)	 (-2.900611578854807582e-01-1.002108940688479360e-01j)	 (-3.008428400881263398e-02+1.075686505551787658e-01j)	 (9.319724134808894667e-03-2.967787234497084453e-02j)	 (-3.866122446661956341e-02+2.208410113272047184e-02j)	 (-1.652202679109124155e-03-2.296510168572704971e-02j)	 (-2.061389759537215344e-02+2.126170375712177485e-02j)	 (1.289665009088536256e-02+1.622258581432252074e-03j)	 (6.229063302300695288e-04-1.546794430617626941e-04j)	 (-5.404037533151060391e-01+7.270932894726983564e-01j)	 (7.817022039984965935e-04+8.760602736765293885e-03j)
 (2.600000000000000000e+01+0.000000000000000000e+00j)	 (-2.073157563214895345e+04+2.898664700770154468e+03j)	 (-2.089314266456538917e+03-9.118046130983174180e+01j)	 (6.977097550865776157e+02-8.382961139397202999e+01j)	 (-5.119150526779903743e+01-3.223117831186627757e+00j)	 (1.765023103142648253e+01-2.106502139460899592e+00j)	 (-2.996177869528936499e-01-8.741545131800491919e-02j)	 (-4.778485498702708667e-02+1.113893832557264207e-01j)	 (8.510210541824060268e-03-2.826988768098721155e-02j)	 (-3.800704991382279629e-02+2.087797122637204475e-02j)	 (-2.813831523890287633e-03-2.247438159810013353e-02j)	 (-1.612385221468469465e-02+2.258225821275076234e-02j)	 (1.257808517721123800e-02+2.023076847287485353e-03j)	 (7.155330592866058657e-04-9.787130644961129105e-05j)	 (-5.976294641423430809e-01+7.985992108793119604e-01j)	 (7.902836951009894854e-04+8.545904901488798541e-03j)
 (2.700000000000000000e+01+0.000000000000000000e+00j)	 (-2.253781016534316586e+04+3.291215777975873607e+03j)	 (-2.035392746780348944e+03-8.780306468091001193e+01j)	 (6.339585066842300876e+02-7.977898661464941199e+01j)	 (-4.907531663977709968e+01-3.151782285922207993e+00j)	 (1.850608829192711369e+01-2.147451969850667108e+00j)	 (-3.075181525452920228e-01-7.398917771997470805e-02j)	 (-6.775873809606128284e-02+1.184683399603457671e-01j)	 (7.779722429444716099e-03-2.693487801491252498e-02j)	 (-3.744395009310769878e-02+1.971262895772851742e-02j)	 (-3.974865361495719812e-03-2.189193067228313583e-02j)	 (-1.178850525014872239e-02+2.236067536144488790e-02j)	 (1.224419338870384039e-02+2.375895940269472355e-03j)	 (7.858972989462126475e-04-4.222663876447401858e-05j)	 (-6.617655256421307586e-01+8.831415277494594207e-01j)	 (7.331297179290771973e-04+8.384603986227100875e-03j)
 (2.800000000000000000e+01+0.000000000000000000e+00j)	 (-2.458882024666603684e+04+3.757514281526839113e+03j)	 (-1.983509843920433013e+03-8.458302734353837593e+01j)	 (5.828187949986661351e+02-7.684006446040999094e+01j)	 (-4.706523420029499505e+01-3.085529839171702093e+00j)	 (1.954414290965852530e+01-2.272875967365152849e+00j)	 (-3.132221888254986819e-01-6.018372103787453242e-02j)	 (-9.029078674455974507e-02+1.290218206990225713e-01j)	 (7.116357972642525787e-03-2.566793615449255994e-02j)	 (-3.696373786716598137e-02+1.858755276037435053e-02j)	 (-5.132716406528361162e-03-2.120515850370415997e-02j)	 (-8.130858457428804392e-03+2.124675607139907274e-02j)	 (1.189207849868012187e-02+2.668228693215446336e-03j)	 (8.365490085993053122e-04+1.184947471654103127e-05j)	 (-7.334418309364583166e-01+9.857470709244393614e-01j)	 (5.809178074223357189e-04+8.278469699585634320e-03j)
 (2.900000000000000000e+01+0.000000000000000000e+00j)	 (-2.693040528165406067e+04+4.315674195070231690e+03j)	 (-1.933557590956209879e+03-8.151557493727634096e+01j)	 (5.409576798483165021e+02-7.480506976852781520e+01j)	 (-4.515386078044996765e+01-3.023918337584381444e+00j)	 (2.081870135911508513e+01-2.537434847783961889e+00j)	 (-3.160283846119712470e-01-4.669905896830948283e-02j)	 (-1.164242287820790034e-01+1.441399664850854523e-01j)	 (6.508176821434862036e-03-2.446450209275495558e-02j)	 (-3.655868319278405415e-02+1.750208603515446965e-02j)	 (-6.280404803575076120e-03-2.041273666436714887e-02j)	 (-5.083213464243134007e-03+1.978047611710457426e-02j)	 (1.151180255277610767e-02+2.897739256970427880e-03j)	 (8.696891239292187624e-04+6.385285817107604219e-05j)	 (-8.124302378363861266e-01+1.113995607065002780e+00j)	 (2.938913298185707383e-04+8.218979404549872289e-03j)
 (3.000000000000000000e+01+0.000000000000000000e+00j)	 (-2.961943501818490404e+04+4.989369564663060373e+03j)	 (-1.885432818103887939e+03-7.859932459118945758e+01j)	 (5.060926840035897953e+02-7.350772872064719365e+01j)	 (-4.333427161827728469e+01-2.966318719486397804e+00j)	 (2.240000767786944991e+01-3.039296670202163764e+00j)	 (-3.151533224613767836e-01-3.529200676377654972e-02j)	 (-1.473599485108130491e-01+1.669546787384757480e-01j)	 (5.945381515218551433e-03-2.332140363981481668e-02j)	 (-3.622378444411335219e-02+1.645620130940858572e-02j)	 (-7.393560375153459922e-03-1.950291588081240826e-02j)	 (-2.391952011334207151e-03+1.831176832777035857e-02j)	 (1.109614918361234541e-02+3.037497158605278330e-03j)	 (8.871021033292434549e-04+1.133629350682825590e-04j)	 (-8.963300350220837487e-01+1.279722937023612950e+00j)	 (-2.111656349096504908e-04+8.149121442113585814e-03j)
