f	1DC-2_dc	2DC-2_dc	3DC-2_dc
 (2.200000000000000000e+01+0.000000000000000000e+00j)	 (2.036711276992803771e-02-1.757355876031687497e-02j)	 (-2.034978839360182534e-02+1.961598253626150451e-02j)	 (-0.000000000000000000e+00+0.000000000000000000e+00j)	 (-2.034978839358330197e-02+1.961598253624875082e-02j)	 (1.047220241142908931e-01-9.540950998731816124e-02j)	 (-8.435401056247109064e-02+7.832588647908304835e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-8.435401056252410379e-02+7.832588647913760194e-02j)	 (8.435491134221649590e-02-7.783595122375323860e-02j)
 (2.300000000000000000e+01+0.000000000000000000e+00j)	 (1.995140907592661203e-02-1.729378784959791776e-02j)	 (-1.993285934644217772e-02+1.943114412284964454e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-1.993285934646190499e-02+1.943114412283011849e-02j)	 (1.026697183073860403e-01-9.416265044320538957e-02j)	 (-8.271706758119035108e-02+7.738119688136678442e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-8.271706758113236968e-02+7.738119688141936736e-02j)	 (8.271830923435860572e-02-7.686886259181417713e-02j)
 (2.400000000000000000e+01+0.000000000000000000e+00j)	 (1.954320345371196241e-02-1.702679505542544630e-02j)	 (-1.952322443792800510e-02+1.925934668021024587e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-1.952322443795434168e-02+1.925934668020819196e-02j)	 (1.006541797377767250e-01-9.300277235144256693e-02j)	 (-8.110938340524381784e-02+7.651066513117307788e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-8.110938340516153644e-02+7.651066513117253665e-02j)	 (8.111097628719693420e-02-7.597597729686302037e-02j)
 (2.500000000000000000e+01+0.000000000000000000e+00j)	 (1.914309894675047044e-02-1.676919924752601904e-02j)	 (-1.912140198705858038e-02+1.909726317339840648e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-1.912140198700632357e-02+1.909726317340169205e-02j)	 (9.867443459484845358e-02-9.190820724895544525e-02j)	 (-7.952937296600351424e-02+7.569602328905010447e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-7.952937296609878526e-02+7.569602328904526112e-02j)	 (7.953133564948572376e-02-7.513900799962069943e-02j)
 (2.600000000000000000e+01+0.000000000000000000e+00j)	 (1.875275850793224966e-02-1.651956110249190243e-02j)	 (-1.872915184718002696e-02+1.894315653150945369e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-1.872915184714917664e-02+1.894315653154214629e-02j)	 (9.674205018424973657e-02-9.086937490756462343e-02j)	 (-7.798696939186443300e-02+7.492906803164671448e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-7.798696939191887556e-02+7.492906803158344564e-02j)	 (7.798929166867776819e-02-7.434981380346654400e-02j)
 (2.700000000000000000e+01+0.000000000000000000e+00j)	 (1.837232390714316557e-02-1.627608604193366351e-02j)	 (-1.834653657616458142e-02+1.879529396780977094e-02j)	 (-0.000000000000000000e+00+0.000000000000000000e+00j)	 (-1.834653657619740585e-02+1.879529396784283476e-02j)	 (9.485439707359674677e-02-8.987387492156068136e-02j)	 (-7.647938987580067682e-02+7.419921598519285677e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-7.647938987574021130e-02+7.419921598513391781e-02j)	 (7.648207317288313600e-02-7.359778888702687982e-02j)
 (2.800000000000000000e+01+0.000000000000000000e+00j)	 (1.800181033834505340e-02-1.603723786617237620e-02j)	 (-1.797351641868479705e-02+1.865233182512337010e-02j)	 (0.000000000000000000e+00-0.000000000000000000e+00j)	 (-1.797351641868590380e-02+1.865233182507849627e-02j)	 (9.300826182515944951e-02-8.891158925721642792e-02j)	 (-7.500339959128568545e-02+7.349793773397045316e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-7.500339959128869693e-02+7.349793773405936814e-02j)	 (7.500645148330030432e-02-7.287435138635718623e-02j)
 (2.900000000000000000e+01+0.000000000000000000e+00j)	 (1.764133430750518608e-02-1.580299901364149925e-02j)	 (-1.761055433983012633e-02+1.851407678841997598e-02j)	 (-0.000000000000000000e+00+0.000000000000000000e+00j)	 (-1.761055433983073348e-02+1.851407678846270569e-02j)	 (9.120687082024536707e-02-8.798323238094309107e-02j)	 (-7.356218985556660372e-02+7.282592809730968619e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-7.356218985555497414e-02+7.282592809722160387e-02j)	 (7.356553651182215492e-02-7.218023336893213127e-02j)
 (3.000000000000000000e+01+0.000000000000000000e+00j)	 (1.729144562414606026e-02-1.557179724466710088e-02j)	 (-1.725775031654411956e-02+1.837903866295667946e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-1.725775031651515315e-02+1.837903866292678323e-02j)	 (8.945043523564773225e-02-8.707439531279841105e-02j)	 (-7.215532057127728438e-02+7.217038041354080502e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-7.215532057132530153e-02+7.217038041359377654e-02j)	 (7.215898961013220148e-02-7.150259806302054766e-02j)
 (3.100000000000000000e+01+0.000000000000000000e+00j)	 (1.695202574307494783e-02-1.534396891363600489e-02j)	 (-1.691533072753603067e-02+1.824738217712344387e-02j)	 (0.000000000000000000e+00-0.000000000000000000e+00j)	 (-1.691533072755968189e-02+1.824738217709268723e-02j)	 (8.774135108324336574e-02-8.618800492398938362e-02j)	 (-7.078538490129146488e-02+7.153384768765051749e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-7.078538490124833271e-02+7.153384768770862379e-02j)	 (7.078932534371931706e-02-7.084403600646377308e-02j)
 (3.200000000000000000e+01+0.000000000000000000e+00j)	 (1.662277649692288015e-02-1.511880928974660733e-02j)	 (-1.658294291129617029e-02+1.811860589480901798e-02j)	 (0.000000000000000000e+00-0.000000000000000000e+00j)	 (-1.658294291133474707e-02+1.811860589481520400e-02j)	 (8.607620671481218400e-02-8.531906267119301890e-02j)	 (-6.944925876068729076e-02+7.091208883901958804e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-6.944925876061090741e-02+7.091208883901051196e-02j)	 (6.945343022270623889e-02-7.020025338142470150e-02j)
