f	lambda_1	lambda_2	lambda_3	lambda_4	lambda_5	lambda_6	lambda_7	lambda_8	lambda_9	lambda_10	lambda_11	lambda_12	lambda_13	lambda_14	lambda_15
 (3.670000000000000000e+02+0.000000000000000000e+00j)	 (-1.161858300352522519e+02-1.772795972506208795e+00j)	 (-6.510635189855429417e+01-1.040037419507753746e+00j)	 (2.813544617592219632e-01-4.015588156537592823e-01j)	 (1.392341027917390583e+01-1.008810007053492441e+00j)	 (1.288963458325393108e-01-3.159156935672008948e-01j)	 (8.243851781702676851e-02-1.727551962645747508e-01j)	 (1.212214395024257740e+01-8.382383323927276031e-01j)	 (1.839563762883362347e-02+4.249875531928813677e-02j)	 (-5.735622381654604390e-02+5.725031410469133553e-02j)	 (1.731850960685858394e-03+2.889924285576200846e-02j)	 (-3.721912262677903697e-03+6.407123151468372378e-03j)	 (2.122412134627502892e-03-2.965547959163696294e-04j)	 (-5.757534603800022049e-03+1.042100558739174343e-02j)	 (-1.262478942510518509e+00-6.246573974615832192e-01j)	 (1.752310001946460194e-01-1.851301773138472329e-01j)
 (3.680000000000000000e+02+0.000000000000000000e+00j)	 (-1.154270969852255178e+02-1.759499345467892217e+00j)	 (-6.477289049037796076e+01-1.035068562493058897e+00j)	 (2.820576163879093823e-01-4.046068084793722486e-01j)	 (1.393766821977854775e+01-1.010572395268094059e+00j)	 (1.297032382948543339e-01-3.138735120292021619e-01j)	 (8.232913424237496558e-02-1.716866915361284496e-01j)	 (1.214634740123350909e+01-8.400316810813081014e-01j)	 (1.840104740064262348e-02+4.262655893758259679e-02j)	 (-5.731812774217982798e-02+5.737709542570738203e-02j)	 (1.868862697388408087e-03+2.896278971513993952e-02j)	 (-3.739564864550883050e-03+6.417932006325561926e-03j)	 (2.120390205374605985e-03-2.909946611861554538e-04j)	 (-5.706945518201283693e-03+1.046996288511626780e-02j)	 (-1.252249250510016232e+00-6.158300223479403757e-01j)	 (1.747800176915612069e-01-1.836987278288430003e-01j)
 (3.700000000000000000e+02+0.000000000000000000e+00j)	 (-1.139307419032678581e+02-1.733168822800069231e+00j)	 (-6.411300017952744668e+01-1.025178363137889015e+00j)	 (2.835943607010429357e-01-4.108004846224236339e-01j)	 (1.396609487457820897e+01-1.014128412755901154e+00j)	 (1.310433028162552582e-01-3.096695834135738679e-01j)	 (8.209837848547371641e-02-1.695939623589627354e-01j)	 (1.219420890972654092e+01-8.436393977679292888e-01j)	 (1.841219903803396896e-02+4.288263090485094908e-02j)	 (-5.724310093873030691e-02+5.763087815054170754e-02j)	 (2.146057244923474123e-03+2.908964790079955620e-02j)	 (-3.774832518776548729e-03+6.436579187361191230e-03j)	 (2.116424224468956873e-03-2.799244470839728962e-04j)	 (-5.605124712524311645e-03+1.057168594514867020e-02j)	 (-1.232013272593985853e+00-5.987093010744255484e-01j)	 (1.740018088884722203e-01-1.809644301799679944e-01j)
 (3.720000000000000000e+02+0.000000000000000000e+00j)	 (-1.124619578352515106e+02-1.707393370144116185e+00j)	 (-6.346235318647885748e+01-1.015447893649697786e+00j)	 (2.853120835420380752e-01-4.170731386054878365e-01j)	 (1.399437059091574831e+01-1.017738262392825721e+00j)	 (1.320425433395842341e-01-3.053563057869223551e-01j)	 (8.185333750598798586e-02-1.675466771916694353e-01j)	 (1.224133284388447862e+01-8.472608297147339318e-01j)	 (1.842380501112756905e-02+4.313920732821675125e-02j)	 (-5.716955309056428319e-02+5.788494845219567531e-02j)	 (2.427234284857719779e-03+2.921601371940376821e-02j)	 (-3.809563527036155355e-03+6.452821886206903078e-03j)	 (2.112600349200240406e-03-2.689226080128786492e-04j)	 (-5.502922708568501985e-03+1.067591760028231175e-02j)	 (-1.212084199403516527e+00-5.822796089085835458e-01j)	 (1.733622125735014008e-01-1.783965424550684464e-01j)
 (3.730000000000000000e+02+0.000000000000000000e+00j)	 (-1.117378981028497265e+02-1.694764521660743650e+00j)	 (-6.314053803625786543e+01-1.010650519395766223e+00j)	 (2.862409336237772273e-01-4.202434868308994043e-01j)	 (1.400843624588804381e+01-1.019524218522013026e+00j)	 (1.324368666362162883e-01-3.031697486136641362e-01j)	 (8.172461615781664857e-02-1.665406786019700824e-01j)	 (1.226463956659000232e+01-8.490449055319990723e-01j)	 (1.842969532789106440e-02+4.326772082530590258e-02j)	 (-5.713343448659000123e-02+5.801192183382898604e-02j)	 (2.569317301937221101e-03+2.927901689910322389e-02j)	 (-3.826845733439259573e-03+6.459245630170779885e-03j)	 (2.110717103164675822e-03-2.634380641264536123e-04j)	 (-5.451508549188119335e-03+1.073027440925721464e-02j)	 (-1.202244996678621503e+00-5.743082793941746145e-01j)	 (1.730932960238440455e-01-1.771666338930884266e-01j)
 (3.750000000000000000e+02+0.000000000000000000e+00j)	 (-1.103097429480834819e+02-1.670082363205946940e+00j)	 (-6.250369783793882306e+01-1.001243136493521702e+00j)	 (2.882323847234362635e-01-4.266025739295616903e-01j)	 (1.403641582773043694e+01-1.023116007762591817e+00j)	 (1.330211841714377119e-01-2.987731367425824347e-01j)	 (8.145681846436016171e-02-1.645490912297862818e-01j)	 (1.231071199924699577e+01-8.525841417728109439e-01j)	 (1.844168597543375393e-02+4.352504374976955137e-02j)	 (-5.706218546149820908e-02+5.826594474643193716e-02j)	 (2.856205677150322475e-03+2.940436018625787809e-02j)	 (-3.861077937879073101e-03+6.471505568179757376e-03j)	 (2.107086085387397008e-03-2.525007340734300378e-04j)	 (-5.348124024791704387e-03+1.083895141030691463e-02j)	 (-1.182812621136748454e+00-5.588446744649757658e-01j)	 (1.726355033631984670e-01-1.748185445318215792e-01j)
 (3.770000000000000000e+02+0.000000000000000000e+00j)	 (-1.089074782486631818e+02-1.645974879284864523e+00j)	 (-6.187566970630440721e+01-9.920194960380500637e-01j)	 (2.903386219461616125e-01-4.329425327770013432e-01j)	 (1.406424174020966333e+01-1.026775083805443245e+00j)	 (1.333694561591995953e-01-2.943734751469471167e-01j)	 (8.117277894757274348e-02-1.625922350795707683e-01j)	 (1.235608095262296757e+01-8.561387586970629071e-01j)	 (1.845410785619122987e-02+4.378281562451166037e-02j)	 (-5.699226576710203496e-02+5.852025568467628114e-02j)	 (3.147437858582976741e-03+2.952887945717003193e-02j)	 (-3.894777098164408768e-03+6.480703196956507511e-03j)	 (2.103558324107379553e-03-2.416148540842998332e-04j)	 (-5.243882462316711013e-03+1.095135558138058893e-02j)	 (-1.163691972205882497e+00-5.440055225884405932e-01j)	 (1.722758092630944371e-01-1.726226540378212049e-01j)
 (3.780000000000000000e+02+0.000000000000000000e+00j)	 (-1.082161090493835331e+02-1.633980986297606464e+00j)	 (-6.156500900857714953e+01-9.873850135391336602e-01j)	 (2.914155194961287609e-01-4.361411695278753498e-01j)	 (1.407812724595324916e+01-1.028567780228894168e+00j)	 (1.334744261174071189e-01-2.921816172361487163e-01j)	 (8.102862105956877559e-02-1.616247366818432674e-01j)	 (1.237856249619944649e+01-8.579039230237612834e-01j)	 (1.846043271957245949e-02+4.391205111018420260e-02j)	 (-5.695810594614431760e-02+5.864747842200126321e-02j)	 (3.294516677870688338e-03+2.959114863205282095e-02j)	 (-3.910900644391419705e-03+6.484518731960659498e-03j)	 (2.101850103773089673e-03-2.362007502159455951e-04j)	 (-5.192337726371472513e-03+1.100847605059513540e-02j)	 (-1.154246817701754413e+00-5.367922806105497324e-01j)	 (1.721392675572814279e-01-1.715781201323794136e-01j)
 (3.800000000000000000e+02+0.000000000000000000e+00j)	 (-1.068518343164643483e+02-1.610709986007936800e+00j)	 (-6.095004050797898287e+01-9.784033875097426503e-01j)	 (2.936500117086106587e-01-4.424727603464439496e-01j)	 (1.410572315925928066e+01-1.032253119359099802e+00j)	 (1.335449556139695071e-01-2.878152456791302494e-01j)	 (8.072774617391670349e-02-1.597093449368318374e-01j)	 (1.242295329502994861e+01-8.614343884176869359e-01j)	 (1.847334569262693016e-02+4.417059805031989944e-02j)	 (-5.689036661391988492e-02+5.890209796924984059e-02j)	 (3.592030221930916749e-03+2.971457635569720382e-02j)	 (-3.942747325433498644e-03+6.490130206639597131e-03j)	 (2.098500059326070203e-03-2.254014933693796309e-04j)	 (-5.088377312362226193e-03+1.112507812249182229e-02j)	 (-1.135600953526878065e+00-5.228200234764701637e-01j)	 (1.719131671150083140e-01-1.695924086800788821e-01j)
 (3.820000000000000000e+02+0.000000000000000000e+00j)	 (-1.055123336744444771e+02-1.587988298050237557e+00j)	 (-6.034367320004201929e+01-9.695657577455973897e-01j)	 (2.959501859430667126e-01-4.488203361196118069e-01j)	 (1.413316306151389234e+01-1.035907174143068765e+00j)	 (1.334715666234233822e-01-2.834858502020645710e-01j)	 (8.042005443122916819e-02-1.578155138732953156e-01j)	 (1.246674058594851786e+01-8.649164811866044689e-01j)	 (1.848650046229032701e-02+4.442974949665788598e-02j)	 (-5.682423115971940025e-02+5.915677549176710792e-02j)	 (3.893516376222786075e-03+2.983739503939178070e-02j)	 (-3.972797015672107843e-03+6.494109164910918768e-03j)	 (2.095281536016924476e-03-2.146672979810059282e-04j)	 (-4.985432282949386722e-03+1.124345379800511732e-02j)	 (-1.117275161888838131e+00-5.093814415884644342e-01j)	 (1.717699952100632255e-01-1.677348853006052076e-01j)
 (3.830000000000000000e+02+0.000000000000000000e+00j)	 (-1.048516225850771661e+02-1.576761682228433159e+00j)	 (-6.004362969703549879e+01-9.651751509913011340e-01j)	 (2.971034673420961947e-01-4.519945354874702614e-01j)	 (1.414684420799034825e+01-1.037735782226320680e+00j)	 (1.333889164392759730e-01-2.813352695047955931e-01j)	 (8.026374924400463129e-02-1.568798683640027225e-01j)	 (1.248841553747389810e+01-8.666577712339416095e-01j)	 (1.849320523926739623e-02+4.455953811153828131e-02j)	 (-5.679173801539624117e-02+5.928427356917454621e-02j)	 (4.046070843173908867e-03+2.989862240915969541e-02j)	 (-3.986946274100782762e-03+6.494701631898889410e-03j)	 (2.093695304104639925e-03-2.093303436588528973e-04j)	 (-4.934567369998416400e-03+1.130466239692254696e-02j)	 (-1.108225484715156473e+00-5.028586027945556314e-01j)	 (1.717278667526585811e-01-1.668565539975499223e-01j)
 (3.850000000000000000e+02+0.000000000000000000e+00j)	 (-1.035476914777486002e+02-1.554653235920888443e+00j)	 (-5.944962875791731705e+01-9.565087402092625757e-01j)	 (2.994085629872400012e-01-4.583092642383608806e-01j)	 (1.417411869642327638e+01-1.041459049206886034e+00j)	 (1.331384006573087808e-01-2.770810522136479825e-01j)	 (7.994614323905091524e-02-1.550178114682737862e-01j)	 (1.253129444942962145e+01-8.701720375823286391e-01j)	 (1.850694851517948464e-02+4.481950213609142003e-02j)	 (-5.672763633210325951e-02+5.953961287635656935e-02j)	 (4.354409796172548086e-03+3.002028086516049174e-02j)	 (-4.014171582269280072e-03+6.495861061668335712e-03j)	 (2.090643120082271485e-03-1.987056565943464141e-04j)	 (-4.832984485401451043e-03+1.142666953421153479e-02j)	 (-1.090350113910729224e+00-4.902012592190005402e-01j)	 (1.716843502836941926e-01-1.652002002835405159e-01j)
 (3.870000000000000000e+02+0.000000000000000000e+00j)	 (-1.022670378531749265e+02-1.533122038350418270e+00j)	 (-5.886382278165775261e+01-9.480122592188608976e-01j)	 (3.017314311527302673e-01-4.646328175529624849e-01j)	 (1.420123654755664155e+01-1.045164594665088487e+00j)	 (1.328008441885460966e-01-2.728706092325686727e-01j)	 (7.962201693306610040e-02-1.531747046036925908e-01j)	 (1.257359750867684944e+01-8.736388356745187211e-01j)	 (1.852095418248559874e-02+4.507997164876965251e-02j)	 (-5.666504012614714120e-02+5.979510468985750615e-02j)	 (4.667175794738636849e-03+3.014103033621888875e-02j)	 (-4.039836881470008738e-03+6.495018022103183838e-03j)	 (2.087684597425206769e-03-1.881286396464036865e-04j)	 (-4.731772717708610833e-03+1.155134539121453058e-02j)	 (-1.072790034481709176e+00-4.780266414275925468e-01j)	 (1.717050657451971163e-01-1.636618246949207989e-01j)
 (3.880000000000000000e+02+0.000000000000000000e+00j)	 (-1.016352573093390106e+02-1.522609029007499393e+00j)	 (-5.857394577929089508e+01-9.438462847628953378e-01j)	 (3.029014551504454200e-01-4.677967095191364333e-01j)	 (1.421472677873511969e+01-1.047013349685102401e+00j)	 (1.326030754497860287e-01-2.707844840466517300e-01j)	 (7.945796657731603319e-02-1.522573996497424975e-01j)	 (1.259452980809880884e+01-8.753494700418020802e-01j)	 (1.852801501181583835e-02+4.521034306977873146e-02j)	 (-5.663422019496212878e-02+5.992291020527881762e-02j)	 (4.825090936961681613e-03+3.020096280124286853e-02j)	 (-4.052183836004976183e-03+6.494421292898731532e-03j)	 (2.086256206552680650e-03-1.828552975284855966e-04j)	 (-4.681204258862830050e-03+1.161377200363605290e-02j)	 (-1.064129610283288896e+00-4.721140544348609303e-01j)	 (1.717364463639500793e-01-1.629341321473070925e-01j)
 (3.900000000000000000e+02+0.000000000000000000e+00j)	 (-1.003881348830600757e+02-1.501868681621142620e+00j)	 (-5.799998376105492071e+01-9.356136682269885485e-01j)	 (3.052012343387227045e-01-4.740925671519318763e-01j)	 (1.424163355863659852e+01-1.050790258338746952e+00j)	 (1.321614918614508749e-01-2.666522613413719323e-01j)	 (7.912256188235450294e-02-1.504365837658857563e-01j)	 (1.263594954607481569e+01-8.788151470216363226e-01j)	 (1.854252471289624324e-02+4.547143015213975237e-02j)	 (-5.657341321672233747e-02+6.017896929675488338e-02j)	 (5.144830847649967120e-03+3.031971427944730318e-02j)	 (-4.076380264366309333e-03+6.491619850237527641e-03j)	 (2.083454620080481528e-03-1.723337902105030891e-04j)	 (-4.578952274304837373e-03+1.174089714222969864e-02j)	 (-1.047026420269511648e+00-4.606434569519901601e-01j)	 (1.718306792861745147e-01-1.615730323864070783e-01j)
 (3.910000000000000000e+02+0.000000000000000000e+00j)	 (-9.977291848605189273e+01-1.491562914436368903e+00j)	 (-5.771597275792598225e+01-9.314850327363590754e-01j)	 (3.063294034878933370e-01-4.772703517067169998e-01j)	 (1.425507050138053877e+01-1.052645949806938042e+00j)	 (1.319207338878841118e-01-2.646042838431049149e-01j)	 (7.895583427475452720e-02-1.495311553160434681e-01j)	 (1.265649673214667104e+01-8.805379836941347182e-01j)	 (1.854987073141123322e-02+4.560231536338009428e-02j)	 (-5.654374276669428545e-02+6.030712290819947863e-02j)	 (5.306373440169486443e-03+3.037899646538630774e-02j)	 (-4.087484839793785463e-03+6.489987567212950233e-03j)	 (2.082103188504334616e-03-1.671054572108778751e-04j)	 (-4.528667930622053486e-03+1.180486826686290291e-02j)	 (-1.038581973707797701e+00-4.550618360020355913e-01j)	 (1.719032757332815686e-01-1.609366795874999645e-01j)
 (3.930000000000000000e+02+0.000000000000000000e+00j)	 (-9.855830879930392996e+01-1.471514154139955455e+00j)	 (-5.715359631652348327e+01-9.234622263950573728e-01j)	 (3.085722254587077718e-01-4.835804636748949337e-01j)	 (1.428179430132433581e+01-1.056453168777661045e+00j)	 (1.313988832349457792e-01-2.605440976785818874e-01j)	 (7.861711984054443880e-02-1.477308378866228900e-01j)	 (1.269710507549015688e+01-8.839900883897835460e-01j)	 (1.856480227020164062e-02+4.586416805561641108e-02j)	 (-5.648488895745335664e-02+6.056370969577035135e-02j)	 (5.633190726173808310e-03+3.049607455140298726e-02j)	 (-4.109073519710042775e-03+6.485687065950692352e-03j)	 (2.079455241914815022e-03-1.566731066722336233e-04j)	 (-4.427228486289553830e-03+1.193413134583347704e-02j)	 (-1.021923827537567275e+00-4.442397979247746931e-01j)	 (1.720696856567673627e-01-1.597428170684458693e-01j)
 (3.950000000000000000e+02+0.000000000000000000e+00j)	 (-9.736490828915077600e+01-1.451928874948659853e+00j)	 (-5.659884683831270991e+01-9.155675265216424163e-01j)	 (3.107772719094160641e-01-4.899326932426028014e-01j)	 (1.430839386535851077e+01-1.060234436747848896e+00j)	 (1.308336923056528656e-01-2.565293568985236861e-01j)	 (7.827879556344155554e-02-1.459409342228721873e-01j)	 (1.273721478271172813e+01-8.874013192141700923e-01j)	 (1.857996656072177441e-02+4.612660115683851064e-02j)	 (-5.642750474609916495e-02+6.082054056298077244e-02j)	 (5.964504243354757165e-03+3.061213246382988099e-02j)	 (-4.128827409649397581e-03+6.481069647388003341e-03j)	 (2.076924549506615082e-03-1.463029660839710233e-04j)	 (-4.326628664533695330e-03+1.206388379336577853e-02j)	 (-1.005561322887894571e+00-4.338161193925196280e-01j)	 (1.722868338729344473e-01-1.586520769983388868e-01j)
 (3.960000000000000000e+02+0.000000000000000000e+00j)	 (-9.677596068699428145e+01-1.442251324017965297e+00j)	 (-5.632426169262758719e+01-9.116468732371905137e-01j)	 (3.118499366394793526e-01-4.931227360411019056e-01j)	 (1.432166531541765409e+01-1.062128247202249964e+00j)	 (1.305363099749284050e-01-2.545341791084234084e-01j)	 (7.811042781271808344e-02-1.450533085839116887e-01j)	 (1.275708959042318291e+01-8.891091668213109145e-01j)	 (1.858764585703972377e-02+4.625801821416042348e-02j)	 (-5.639931503171669719e-02+6.094917112707562423e-02j)	 (6.132223101013813647e-03+3.066983769403488699e-02j)	 (-4.137767515960207379e-03+6.477943728170555866e-03j)	 (2.075677388125678029e-03-1.411479972986946589e-04j)	 (-4.276919554550145074e-03+1.213018485128436116e-02j)	 (-9.974847180274417635e-01-4.287521246425682331e-01j)	 (1.724140501147621296e-01-1.581480689960003683e-01j)
 (3.980000000000000000e+02+0.000000000000000000e+00j)	 (-9.561306200029883939e+01-1.423158513227928301e+00j)	 (-5.578049306897973736e+01-9.038957902928563826e-01j)	 (3.139304920667089216e-01-4.995014919083191063e-01j)	 (1.434814300897437356e+01-1.065983587768581486e+00j)	 (1.299158866321718786e-01-2.505863159061077483e-01j)	 (7.777332953779378388e-02-1.432812119045126786e-01j)	 (1.279644738588050679e+01-8.925620220588385001e-01j)	 (1.860338129274257887e-02+4.652127782362111552e-02j)	 (-5.634379014381716427e-02+6.120689221217884279e-02j)	 (6.471263093335725969e-03+3.078406338840600567e-02j)	 (-4.154862285459442160e-03+6.472342681796553962e-03j)	 (2.073291102408177534e-03-1.308805459025139692e-04j)	 (-4.177148791655836690e-03+1.226170909876277311e-02j)	 (-9.815386175100948574e-01-4.189163908067866648e-01j)	 (1.726919429731325339e-01-1.572183242265882963e-01j)
 (4.000000000000000000e+02+0.000000000000000000e+00j)	 (-9.447019112839804222e+01-1.404548493895223960e+00j)	 (-5.524402709475444340e+01-8.962918288279823065e-01j)	 (3.159553179717289884e-01-5.059285073372947750e-01j)	 (1.437449308530201897e+01-1.069820950890044919e+00j)	 (1.292655016939017742e-01-2.466724028707785732e-01j)	 (7.743629459871302634e-02-1.415217204336754742e-01j)	 (1.283532680920413860e+01-8.959707662822109508e-01j)	 (1.861927325614603709e-02+4.678497795617923838e-02j)	 (-5.628954871194717657e-02+6.146491385895333504e-02j)	 (6.815277922372783848e-03+3.089691425668814051e-02j)	 (-4.170554115734099315e-03+6.465845898967270862e-03j)	 (2.070985981253428785e-03-1.206615624649981771e-04j)	 (-4.077370562830940140e-03+1.239483368670488313e-02j)	 (-9.658811222285768050e-01-4.094426562518665436e-01j)	 (1.730162554888943216e-01-1.563839398102271350e-01j)
 (4.010000000000000000e+02+0.000000000000000000e+00j)	 (-9.390612670864203437e+01-1.395482808729812341e+00j)	 (-5.497849826077145963e+01-8.925742559973610657e-01j)	 (3.169506755324121849e-01-5.091583939022548133e-01j)	 (1.438760756039648392e+01-1.071734902942135692e+00j)	 (1.289293047178420859e-01-2.447310459607210109e-01j)	 (7.726781074527742932e-02-1.406443880438475735e-01j)	 (1.285458083902819837e+01-8.976530092080112766e-01j)	 (1.862729564654539219e-02+4.691699108208462893e-02j)	 (-5.626291275358311084e-02+6.159399944675319344e-02j)	 (6.989002581942738157e-03+3.095273541528516595e-02j)	 (-4.178014210833080888e-03+6.462718560804146285e-03j)	 (2.069876518391174178e-03-1.155657052839340336e-04j)	 (-4.027344436867133157e-03+1.246117019763907756e-02j)	 (-9.581613271225414286e-01-4.048372563896305287e-01j)	 (1.731945430948363673e-01-1.559992210963525028e-01j)
 (4.030000000000000000e+02+0.000000000000000000e+00j)	 (-9.279201985403626907e+01-1.377577792763332809e+00j)	 (-5.445253930038919066e+01-8.852237336732559081e-01j)	 (3.188535154306974539e-01-5.156215220927952148e-01j)	 (1.441378573802019503e+01-1.075653539349459065e+00j)	 (1.282435175764060908e-01-2.408764409405595164e-01j)	 (7.692807896019990266e-02-1.388989036673482502e-01j)	 (1.289271707802345901e+01-9.010750410460847126e-01j)	 (1.864364038765855755e-02+4.718138087567227273e-02j)	 (-5.621022575560136875e-02+6.185268998790990902e-02j)	 (7.340788385129800447e-03+3.106273052525591882e-02j)	 (-4.192685406550939430e-03+6.455724162884817971e-03j)	 (2.067711268166938163e-03-1.053978617492502129e-04j)	 (-3.925691025011374298e-03+1.259513631608504339e-02j)	 (-9.429187490720468690e-01-3.958953168908739828e-01j)	 (1.735729279986835405e-01-1.553056883302173508e-01j)
 (4.050000000000000000e+02+0.000000000000000000e+00j)	 (-9.169691376830074603e+01-1.359864875049966448e+00j)	 (-5.393358483982132157e+01-8.778841822587331034e-01j)	 (3.206577473471361461e-01-5.221694236707712378e-01j)	 (1.443990977157770672e+01-1.079532400921717539e+00j)	 (1.275283899378669983e-01-2.370501630447164887e-01j)	 (7.659303294991462452e-02-1.371653238863035362e-01j)	 (1.293046099688364059e+01-9.044735416634563929e-01j)	 (1.866029630417628468e-02+4.744639175927852642e-02j)	 (-5.615916191748106939e-02+6.211200857082985194e-02j)	 (7.697993916952005841e-03+3.117172986484453151e-02j)	 (-4.205393687935886186e-03+6.448132981671800788e-03j)	 (2.065626121048395793e-03-9.530008447567046273e-05j)	 (-3.825020078293024563e-03+1.273053056655983409e-02j)	 (-9.279407026556779625e-01-3.872702021049976850e-01j)	 (1.740042669280850163e-01-1.547057113796597716e-01j)
 (4.060000000000000000e+02+0.000000000000000000e+00j)	 (-9.115608246472929466e+01-1.351278338889390307e+00j)	 (-5.367658163681637973e+01-8.743354002561679605e-01j)	 (3.215271590941247148e-01-5.254360169189732366e-01j)	 (1.445291030786106212e+01-1.081528841654389783e+00j)	 (1.271640134825086643e-01-2.351553449483377023e-01j)	 (7.642395117909100977e-02-1.362998021301218277e-01j)	 (1.294912392420480352e+01-9.061892281981616115e-01j)	 (1.866870145044731422e-02+4.757898077139000037e-02j)	 (-5.613374076140256047e-02+6.224181293617447180e-02j)	 (7.878497683773114449e-03+3.122510378763371230e-02j)	 (-4.211890528175025669e-03+6.444609957057934220e-03j)	 (2.064627989896284602e-03-9.025554086106868249e-05j)	 (-3.773578380530067614e-03+1.279768706446977183e-02j)	 (-9.205538849458498873e-01-3.830864496672378161e-01j)	 (1.742277847330606089e-01-1.544357371814802649e-01j)
 (4.080000000000000000e+02+0.000000000000000000e+00j)	 (-9.008831930300847546e+01-1.334325893842301491e+00j)	 (-5.316776749066671215e+01-8.672724448312905121e-01j)	 (3.232038245564605727e-01-5.320535826641187294e-01j)	 (1.447884859650963740e+01-1.085451843534934291e+00j)	 (1.264056640610681792e-01-2.313837836436607731e-01j)	 (7.609288050190786412e-02-1.345777692834722317e-01j)	 (1.298617413361190742e+01-9.095632693674968738e-01j)	 (1.868567396015605869e-02+4.784464151292021350e-02j)	 (-5.608423233838475547e-02+6.250169889881469765e-02j)	 (8.243440757381466019e-03+3.133132127635155501e-02j)	 (-4.222890550151627356e-03+6.437276888527119524e-03j)	 (2.062688416754080920e-03-8.023820527355999069e-05j)	 (-3.672407842913535773e-03+1.293299565134410981e-02j)	 (-9.059786266566557389e-01-3.749346606495960743e-01j)	 (1.747228996173488813e-01-1.539560119766241464e-01j)
 (4.100000000000000000e+02+0.000000000000000000e+00j)	 (-8.903825885304102883e+01-1.317633905293859931e+00j)	 (-5.266553856027559988e+01-8.602796632186707759e-01j)	 (3.247602540514052394e-01-5.387354559580915803e-01j)	 (1.450472705764701153e+01-1.089403698777964724e+00j)	 (1.256199446531643948e-01-2.276422287147877310e-01j)	 (7.576428777361188249e-02-1.328663950969470875e-01j)	 (1.302281713635900040e+01-9.129519563934220816e-01j)	 (1.870290209082296762e-02+4.811089707038803537e-02j)	 (-5.603586626567655382e-02+6.276218156438596874e-02j)	 (8.614157839463176813e-03+3.143574840068903004e-02j)	 (-4.232807064532623058e-03+6.429503257137644118e-03j)	 (2.060824783452343528e-03-7.027460846177485958e-05j)	 (-3.570641055570910119e-03+1.306944321871869770e-02j)	 (-8.916560200999572583e-01-3.670799214770067431e-01j)	 (1.752654471407911196e-01-1.535602797223715454e-01j)
 (4.110000000000000000e+02+0.000000000000000000e+00j)	 (-8.851962291315496145e+01-1.309340098740338298e+00j)	 (-5.241679458666281732e+01-8.567987882214471718e-01j)	 (3.254787626190144834e-01-5.420904816676965776e-01j)	 (1.451766028791853280e+01-1.091423717090916012e+00j)	 (1.252162420296291379e-01-2.257874013829408166e-01j)	 (7.560173292873334505e-02-1.320127825565246826e-01j)	 (1.304098259646048064e+01-9.146822493564822354e-01j)	 (1.871174900869177621e-02+4.824424960048484534e-02j)	 (-5.601205334030001648e-02+6.289281616643913053e-02j)	 (8.801733470222727895e-03+3.148723401008132056e-02j)	 (-4.237335402496890911e-03+6.425821346656190695e-03j)	 (2.059933353306223156e-03-6.532043079201732484e-05j)	 (-3.519593324177698688e-03+1.313748265736917713e-02j)	 (-8.845830810214379003e-01-3.632643066176972635e-01j)	 (1.755509547752910349e-01-1.533935009601508082e-01j)
 (4.130000000000000000e+02+0.000000000000000000e+00j)	 (-8.749543100920823235e+01-1.293183287891783939e+00j)	 (-5.192426328670632074e+01-8.499813957183152135e-01j)	 (3.268621168748577777e-01-5.488714767309581521e-01j)	 (1.454341594088804079e+01-1.095413015064839790e+00j)	 (1.243841753135733613e-01-2.220962764286434354e-01j)	 (7.527726376181897994e-02-1.303146259400614349e-01j)	 (1.307701360829263137e+01-9.180689425881670696e-01j)	 (1.872940242434434008e-02+4.851126070692392961e-02j)	 (-5.596539367594031977e-02+6.315414073076015822e-02j)	 (9.180940172972062302e-03+3.158871909175329368e-02j)	 (-4.245823201185817269e-03+6.417945513434540963e-03j)	 (2.058192605609854720e-03-5.543221555476158131e-05j)	 (-3.416722197884787190e-03+1.327459247976342516e-02j)	 (-8.706375640301231567e-01-3.558324344071592815e-01j)	 (1.761683422777774732e-01-1.531077987394905138e-01j)
 (4.150000000000000000e+02+0.000000000000000000e+00j)	 (-8.648803897074094493e+01-1.277447250284601488e+00j)	 (-5.143807853664808505e+01-8.433127621768502502e-01j)	 (3.281346608682386146e-01-5.557226484346394768e-01j)	 (1.456906975815306282e+01-1.099421116469826210e+00j)	 (1.235170796069455790e-01-2.184442484603340839e-01j)	 (7.495588561549745843e-02-1.286235843520710520e-01j)	 (1.311263772053897014e+01-9.214377443759860231e-01j)	 (1.874726711664637113e-02+4.877870113382184319e-02j)	 (-5.591975943973378355e-02+6.341596631366801240e-02j)	 (9.565671769057371154e-03+3.168805222801254762e-02j)	 (-4.253466050729153534e-03+6.410338402414797465e-03j)	 (2.056543714549679495e-03-4.559234142122870474e-05j)	 (-3.313063573933767037e-03+1.341156173682360106e-02j)	 (-8.569420103824252344e-01-3.486676584692439129e-01j)	 (1.768391348145316178e-01-1.528838846818375286e-01j)
