f	1DC-2_dc	2DC-2_dc	3DC-2_dc
 (2.600000000000000000e+01+0.000000000000000000e+00j)	 (1.875275922631630676e-02-1.651955802953125260e-02j)	 (-1.872915243833808349e-02+1.894315278774690720e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-1.872915243838588206e-02+1.894315278768705230e-02j)	 (9.674205679193367824e-02-9.086936048915938979e-02j)	 (-7.798697525386762142e-02+7.492905652854127407e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-7.798697525371117711e-02+7.492905652843201425e-02j)	 (7.798929756252673262e-02-7.434980246210617927e-02j)
 (2.700000000000000000e+01+0.000000000000000000e+00j)	 (1.837232090328869485e-02-1.627608530614302676e-02j)	 (-1.834653288976513877e-02+1.879529334841318830e-02j)	 (-0.000000000000000000e+00+0.000000000000000000e+00j)	 (-1.834653288972187477e-02+1.879529334836062618e-02j)	 (9.485438297422339737e-02-8.987386820141295141e-02j)	 (-7.647937861994408282e-02+7.419921002562100687e-02j)	 (-0.000000000000000000e+00+0.000000000000000000e+00j)	 (-7.647937861990602992e-02+7.419921002580358305e-02j)	 (7.648206207386111510e-02-7.359778289835851306e-02j)
 (2.800000000000000000e+01+0.000000000000000000e+00j)	 (1.800181189059377532e-02-1.603724046970597325e-02j)	 (-1.797351853773898958e-02+1.865233484322989868e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-1.797351853774000613e-02+1.865233484330703836e-02j)	 (9.300826678984044915e-02-8.891160382219034930e-02j)	 (-7.500340313512650348e-02+7.349794979455996635e-02j)	 (0.000000000000000000e+00-0.000000000000000000e+00j)	 (-7.500340313550821203e-02+7.349794979448490140e-02j)	 (7.500645489929735898e-02-7.287436334861002729e-02j)
 (2.900000000000000000e+01+0.000000000000000000e+00j)	 (1.764133281586685587e-02-1.580299645214661500e-02j)	 (-1.761055228190902891e-02+1.851407379761077845e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-1.761055228190410230e-02+1.851407379754483468e-02j)	 (9.120686615218565052e-02-8.798321798806481298e-02j)	 (-7.356218654777706145e-02+7.282591616339872953e-02j)	 (-0.000000000000000000e+00+0.000000000000000000e+00j)	 (-7.356218654775163734e-02+7.282591616343295216e-02j)	 (7.356553333625444335e-02-7.218022153969314014e-02j)
 (3.000000000000000000e+01+0.000000000000000000e+00j)	 (1.729144842850553754e-02-1.557179800724616155e-02j)	 (-1.725775383643239277e-02+1.837903933721223015e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-1.725775383647703415e-02+1.837903933726559372e-02j)	 (8.945044844373921389e-02-8.707440225349147300e-02j)	 (-7.215533114303854245e-02+7.217038657322065454e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-7.215533114333062825e-02+7.217038657297411564e-02j)	 (7.215900001275110665e-02-7.150260424349004496e-02j)
 (3.100000000000000000e+01+0.000000000000000000e+00j)	 (1.695202496543113738e-02-1.534397165585790063e-02j)	 (-1.691533002729948484e-02+1.824738564688510242e-02j)	 (0.000000000000000000e+00-0.000000000000000000e+00j)	 (-1.691533002726005111e-02+1.824738564693382387e-02j)	 (8.774134403421528228e-02-8.618801784916327313e-02j)	 (-7.078537864594942886e-02+7.153385804146170091e-02j)	 (0.000000000000000000e+00-0.000000000000000000e+00j)	 (-7.078537864628538234e-02+7.153385804155600047e-02j)	 (7.078931907161800652e-02-7.084404619067986852e-02j)
 (3.200000000000000000e+01+0.000000000000000000e+00j)	 (1.662277404783234561e-02-1.511881062153891397e-02j)	 (-1.658293998748470999e-02+1.811860779483131720e-02j)	 (0.000000000000000000e+00-0.000000000000000000e+00j)	 (-1.658293998742974701e-02+1.811860779482841327e-02j)	 (8.607619275168286455e-02-8.531906654249378497e-02j)	 (-6.944924713375735803e-02+7.091209151050792414e-02j)	 (0.000000000000000000e+00-0.000000000000000000e+00j)	 (-6.944924713393881011e-02+7.091209151065173966e-02j)	 (6.945341870770463388e-02-7.020025592102054068e-02j)
 (3.300000000000000000e+01+0.000000000000000000e+00j)	 (1.630367570944220995e-02-1.489584824678692049e-02j)	 (-1.626048394237646078e-02+1.799231526188684732e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-1.626048394244422254e-02+1.799231526188605629e-02j)	 (8.445467089068274535e-02-8.446334673720838626e-02j)	 (-6.814661445422520725e-02+7.030137507848609191e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-6.814661445539942075e-02+7.030137507810946262e-02j)	 (6.815099534152910254e-02-6.956749826271545201e-02j)
 (3.400000000000000000e+01+0.000000000000000000e+00j)	 (1.599470162157237696e-02-1.467537298488296588e-02j)	 (-1.594802707929039720e-02+1.786852152975982461e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-1.594802707932401961e-02+1.786852152972345786e-02j)	 (8.287951917800107093e-02-8.362116059234546428e-02j)	 (-6.688026682351595753e-02+6.970166131563518275e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-6.688026682256532907e-02+6.970166131629264294e-02j)	 (6.688481725350678420e-02-6.894578761045204451e-02j)
 (3.500000000000000000e+01+0.000000000000000000e+00j)	 (1.569567519836326600e-02-1.445714594751260941e-02j)	 (-1.564531202012120134e-02+1.774706637251076413e-02j)	 (-0.000000000000000000e+00+0.000000000000000000e+00j)	 (-1.564531202006986393e-02+1.774706637247089672e-02j)	 (8.134950094290815947e-02-8.279027053013345017e-02j)	 (-6.564912451405792437e-02+6.911097377707202394e-02j)	 (-0.000000000000000000e+00+0.000000000000000000e+00j)	 (-6.564912451685968320e-02+6.911097377619351834e-02j)	 (6.565382612311858324e-02-6.833312459797233340e-02j)
