f	max_sigma_G1	max_sigma_G2	max_sigma_G1_G2
6.050000000000000000e+02	1.336048284983163285e+03	5.732639539099575188e-02	5.440826265178956334e+01
6.070000000000000000e+02	1.330958041072683727e+03	5.712041672411933418e-02	5.400973196869207271e+01
6.090000000000000000e+02	1.325902425985204218e+03	5.691596037519951884e-02	5.361551203669105803e+01
6.110000000000000000e+02	1.320883632327838995e+03	5.671279827340466873e-02	5.322543500278753470e+01
6.120000000000000000e+02	1.318385958142966956e+03	5.661187123162023105e-02	5.303203413754761186e+01
6.140000000000000000e+02	1.313417811807991484e+03	5.641098604297296176e-02	5.264827760512887522e+01
6.160000000000000000e+02	1.308484207380991165e+03	5.621146517597929576e-02	5.226856940700681520e+01
6.180000000000000000e+02	1.303584223630776933e+03	5.601334314422883043e-02	5.189289482880514015e+01
6.190000000000000000e+02	1.301146905910444048e+03	5.591479492428020476e-02	5.170653540685590599e+01
6.210000000000000000e+02	1.296296362262675757e+03	5.571880767457973449e-02	5.133683794919163290e+01
6.230000000000000000e+02	1.291478184341741553e+03	5.552423229792544102e-02	5.097105215754785945e+01
6.250000000000000000e+02	1.286694076343440884e+03	5.533085455489824417e-02	5.060901113106459093e+01
6.260000000000000000e+02	1.284313016555585591e+03	5.523477538531128966e-02	5.042948166809000554e+01
6.280000000000000000e+02	1.279575842918328817e+03	5.504351796092735172e-02	5.007317104104602379e+01
6.300000000000000000e+02	1.274870859305621707e+03	5.485352485923102039e-02	4.972053202760400836e+01
6.320000000000000000e+02	1.270197557639569141e+03	5.466482985928201865e-02	4.937156766107616335e+01
6.330000000000000000e+02	1.267872284035353914e+03	5.457096242412826093e-02	4.919841323059615945e+01
6.350000000000000000e+02	1.263244114177957726e+03	5.438425500803097112e-02	4.885484495601675548e+01
6.370000000000000000e+02	1.258646951477679067e+03	5.419885421183109203e-02	4.851485539582799333e+01
6.390000000000000000e+02	1.254080682215416346e+03	5.401457861136561150e-02	4.817825061563820555e+01
6.410000000000000000e+02	1.249543688041601399e+03	5.383167883936110926e-02	4.784518330081181858e+01
6.420000000000000000e+02	1.247285706454647652e+03	5.374069262500662247e-02	4.767990607316022533e+01
6.440000000000000000e+02	1.242793178512891927e+03	5.355956315499080245e-02	4.735184311663630297e+01
6.460000000000000000e+02	1.238330733527787515e+03	5.337963758338681863e-02	4.702713661118794874e+01
6.480000000000000000e+02	1.233896180774181403e+03	5.320092797609510260e-02	4.670568020139900511e+01
6.490000000000000000e+02	1.231688921500065362e+03	5.311205249602884287e-02	4.654617619823818586e+01
6.510000000000000000e+02	1.227297108366287603e+03	5.293519828923439613e-02	4.622963131794617908e+01
