f	pp	pn	np	nn
 (1.300000000000000000e+01+0.000000000000000000e+00j)	 (5.351588537464514739e-03-1.391414630297401270e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (5.351606506245167386e-03-1.391416620686247371e-02j)
 (1.350000000000000000e+01+0.000000000000000000e+00j)	 (5.009448450344539117e-03-1.352552619836191322e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (5.009464800558825759e-03-1.352554524333970248e-02j)
 (1.450000000000000000e+01+0.000000000000000000e+00j)	 (4.413212374851042258e-03-1.279833004216706510e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (4.413226004588656839e-03-1.279834745533657905e-02j)
 (1.550000000000000000e+01+0.000000000000000000e+00j)	 (3.914074336986766642e-03-1.213364361363473802e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (3.914085797383644663e-03-1.213365952880716449e-02j)
 (1.650000000000000000e+01+0.000000000000000000e+00j)	 (3.492710553950981872e-03-1.152595720387409456e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (3.492720268415874102e-03-1.152597176086106803e-02j)
 (1.750000000000000000e+01+0.000000000000000000e+00j)	 (3.134213418041420767e-03-1.096975870166274139e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (3.134221714734595262e-03-1.096977203563949399e-02j)
 (1.800000000000000000e+01+0.000000000000000000e+00j)	 (2.974808543922097259e-03-1.070932222711414375e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (2.974816231693417842e-03-1.070933499736102454e-02j)
 (1.900000000000000000e+01+0.000000000000000000e+00j)	 (2.689658414687269919e-03-1.022071298902313755e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (2.689665048415666379e-03-1.022072472025428377e-02j)
 (2.000000000000000000e+01+0.000000000000000000e+00j)	 (2.442842598041928236e-03-9.771381044353766310e-03j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (2.442848358152987370e-03-9.771391844568474983e-03j)
 (2.100000000000000000e+01+0.000000000000000000e+00j)	 (2.227914271773033875e-03-9.357250311341831772e-03j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (2.227919302447933098e-03-9.357260276873741872e-03j)
