f	max_sigma_G1	max_sigma_G2	max_sigma_G1_G2
2.015000000000000000e+02	1.211559172577608479e+03	1.946970339995022711e-03	2.213944927261137341e+00
2.040000000000000000e+02	1.223599804080693957e+03	1.940103270951407891e-03	2.224862931489206552e+00
2.045000000000000000e+02	1.226007943159771003e+03	1.938715293876476899e-03	2.226964938255607596e+00
2.070000000000000000e+02	1.238048702110432487e+03	1.931730347195091462e-03	2.237082322370819831e+00
2.080000000000000000e+02	1.242865035247075866e+03	1.928908800098761778e-03	2.240947866103601971e+00
2.100000000000000000e+02	1.252497751935545466e+03	1.923248405614133875e-03	2.248385858349287503e+00
2.115000000000000000e+02	1.259722333403828543e+03	1.918989747630261370e-03	2.253715433392551315e+00
2.130000000000000000e+02	1.266946952395393510e+03	1.914714370208821584e-03	2.258825783668529041e+00
2.150000000000000000e+02	1.276579835867433530e+03	1.909015421237578907e-03	2.265324322689910463e+00
2.160000000000000000e+02	1.281396302437831309e+03	1.906166049931357380e-03	2.268447032183948942e+00
2.185000000000000000e+02	1.293437541038668769e+03	1.899047178948093167e-03	2.275868882205354105e+00
2.190000000000000000e+02	1.295845801097549383e+03	1.897629985562802228e-03	2.277288252981753747e+00
2.215000000000000000e+02	1.307887162871301143e+03	1.890535726944269799e-03	2.284100549468894403e+00
2.220000000000000000e+02	1.310295447497542909e+03	1.889115512294596089e-03	2.285404712773786873e+00
2.245000000000000000e+02	1.322336931782140937e+03	1.882052097273065848e-03	2.291643712877954986e+00
2.255000000000000000e+02	1.327153553973405678e+03	1.879227245464824272e-03	2.294007798807813803e+00
2.275000000000000000e+02	1.336786847038157248e+03	1.873595697465481021e-03	2.298526369341219233e+00
2.290000000000000000e+02	1.344011859340542060e+03	1.869380861919242489e-03	2.301743704768097309e+00
2.305000000000000000e+02	1.351236907992337365e+03	1.865171427464406206e-03	2.304811933117782985e+00
2.330000000000000000e+02	1.363278736328533114e+03	1.858161397115484260e-03	2.309599519428705339e+00
2.335000000000000000e+02	1.365687114060471231e+03	1.856751864607942117e-03	2.310512018573226634e+00
2.360000000000000000e+02	1.377729062932408169e+03	1.849731224478383873e-03	2.314855472214743859e+00
2.370000000000000000e+02	1.382545870537873952e+03	1.846919707894091470e-03	2.316495498413316589e+00
2.390000000000000000e+02	1.392179533762381652e+03	1.841283298826267749e-03	2.319606227577631685e+00
2.405000000000000000e+02	1.399404823133024593e+03	1.837038748735880626e-03	2.321805381445889882e+00
2.420000000000000000e+02	1.406630148414179985e+03	1.832777697415453790e-03	2.323888631666245708e+00
2.445000000000000000e+02	1.418672436912322610e+03	1.825634357851283786e-03	2.327113661552895341e+00
2.450000000000000000e+02	1.421080906550247619e+03	1.824205331919988640e-03	2.327724121124782553e+00
2.475000000000000000e+02	1.433123314398068487e+03	1.816983707927462624e-03	2.330607717122622269e+00
2.485000000000000000e+02	1.437940305345966863e+03	1.814081621905473890e-03	2.331686543602304429e+00
2.505000000000000000e+02	1.447574334884694053e+03	1.808226814272946396e-03	2.333719919829168710e+00
2.525000000000000000e+02	1.457208427890831217e+03	1.802317930805668114e-03	2.335593413096867188e+00
2.535000000000000000e+02	1.462025498181785906e+03	1.799338099545976432e-03	2.336469833029170218e+00
2.560000000000000000e+02	1.474068243248855651e+03	1.791826632758723942e-03	2.338509550319149977e+00
2.570000000000000000e+02	1.478885369002288144e+03	1.788795421308689033e-03	2.339263670469732048e+00
2.590000000000000000e+02	1.488519668022508540e+03	1.782679504024117702e-03	2.340667906607895254e+00
2.610000000000000000e+02	1.498154030383759391e+03	1.776496941425104777e-03	2.341945176141526641e+00
2.620000000000000000e+02	1.502971235313538727e+03	1.773379531309854243e-03	2.342540428080824189e+00
2.645000000000000000e+02	1.515014316909719128e+03	1.765505736748262770e-03	2.343894461820799080e+00
2.655000000000000000e+02	1.519831577257502204e+03	1.762327492161421157e-03	2.344386028497138952e+00
2.675000000000000000e+02	1.529466145459840618e+03	1.755911349195257102e-03	2.345287114693591857e+00
2.695000000000000000e+02	1.539100777027415916e+03	1.749427784961515072e-03	2.346088928667993123e+00
2.705000000000000000e+02	1.543918116574547412e+03	1.746161227601710463e-03	2.346451333983671006e+00
2.730000000000000000e+02	1.555961534799316269e+03	1.737916697958647198e-03	2.347255138669229968e+00
2.740000000000000000e+02	1.560778929840332239e+03	1.734590163543883344e-03	2.347539458948702418e+00
2.760000000000000000e+02	1.570413767526596757e+03	1.727884429645994407e-03	2.348039458110973587e+00
2.785000000000000000e+02	1.582457403951371589e+03	1.719410641116102039e-03	2.348549053412285037e+00
2.790000000000000000e+02	1.584866143150141397e+03	1.717704334709030259e-03	2.348636670009829785e+00
2.815000000000000000e+02	1.596909898792078820e+03	1.709116913361400291e-03	2.349004126792723746e+00
2.830000000000000000e+02	1.604136199916745454e+03	1.703919415249150089e-03	2.349173312656548163e+00
2.845000000000000000e+02	1.611362536887287661e+03	1.698689635130529087e-03	2.349300793270502563e+00
2.870000000000000000e+02	1.623406511565172423e+03	1.689909123228041776e-03	2.349433312275565733e+00
2.875000000000000000e+02	1.625815318470765305e+03	1.688143799455826865e-03	2.349450452018720270e+00
2.900000000000000000e+02	1.637859412915662233e+03	1.679268280850687361e-03	2.349471927742885047e+00
2.925000000000000000e+02	1.649903607360992737e+03	1.670319237349457767e-03	2.349407787251616586e+00
2.930000000000000000e+02	1.652312458265559826e+03	1.668522331665097270e-03	2.349383021630225166e+00
2.955000000000000000e+02	1.664356772938776885e+03	1.659497316286469466e-03	2.349222980668702387e+00
2.970000000000000000e+02	1.671583409922528517e+03	1.654052283900432933e-03	2.349092530642983068e+00
2.985000000000000000e+02	1.678810083096120024e+03	1.648588256064114233e-03	2.348934193100844503e+00
3.010000000000000000e+02	1.690854618932032736e+03	1.639442896627129817e-03	2.348616059546170032e+00
3.020000000000000000e+02	1.695672461495337075e+03	1.635771858841590350e-03	2.348472868789622581e+00
3.040000000000000000e+02	1.705308195101799129e+03	1.628408216846381588e-03	2.348154907461526442e+00
3.065000000000000000e+02	1.717352953148203596e+03	1.619170556883861144e-03	2.347705906820094945e+00
3.070000000000000000e+02	1.719761916914843368e+03	1.617318937446554595e-03	2.347610155727129833e+00
3.095000000000000000e+02	1.731806796657784389e+03	1.608043836318943324e-03	2.347099402284529734e+00
