f	max_sigma_G1	max_sigma_G2	max_sigma_G1_G2
7.700000000000000000e+01	6.121163201345055995e+02	1.785231247649503522e-03	8.757860762612529326e-01
7.850000000000000000e+01	6.193352285609006458e+02	1.783618400339348747e-03	8.905517238510589628e-01
7.950000000000000000e+01	6.241479113303345230e+02	1.782973455712907277e-03	9.007326143666921636e-01
8.050000000000000000e+01	6.289606543427057659e+02	1.782615283333301029e-03	9.110273104828300328e-01
8.100000000000000000e+01	6.313670480561742124e+02	1.782540569791803142e-03	9.161919790077833747e-01
8.250000000000000000e+01	6.385863162467569509e+02	1.782834861251770273e-03	9.320597005318143058e-01
8.350000000000000000e+01	6.433992328062995512e+02	1.783390455620507834e-03	9.429304198920335223e-01
8.450000000000000000e+01	6.482122049430630568e+02	1.784161477385616101e-03	9.539098300179906786e-01
8.500000000000000000e+01	6.506187115148597968e+02	1.784654228830945396e-03	9.594589320260106247e-01
8.650000000000000000e+01	6.578383116658169456e+02	1.786514249197269704e-03	9.763536731277983050e-01
8.800000000000000000e+01	6.650580298109972546e+02	1.788883429804122424e-03	9.936270902541941563e-01
8.850000000000000000e+01	6.674646281726410280e+02	1.789785635075243596e-03	9.994218912277174072e-01
8.950000000000000000e+01	6.722778626518465899e+02	1.791718911952791581e-03	1.011161760145451227e+00
9.100000000000000000e+01	6.794978070386965783e+02	1.795057606940812138e-03	1.029020292912359746e+00
9.200000000000000000e+01	6.843111637726857452e+02	1.797501441989243342e-03	1.041129835806714699e+00
9.250000000000000000e+01	6.867178599575486260e+02	1.798806662696152744e-03	1.047231120360545775e+00
9.400000000000000000e+01	6.939380185255712377e+02	1.802921649356273043e-03	1.065719364255385937e+00
9.550000000000000000e+01	7.011582799850740457e+02	1.807390860179310674e-03	1.084465220813705555e+00
9.600000000000000000e+01	7.035650562089939513e+02	1.808927595788607356e-03	1.090733118369578536e+00
9.700000000000000000e+01	7.083786416945928295e+02	1.812164751559904811e-03	1.103454355592315750e+00
9.850000000000000000e+01	7.155991011245687332e+02	1.817240722805311829e-03	1.122626924948702198e+00
9.950000000000000000e+01	7.204127938333123211e+02	1.820764004740853649e-03	1.135582789309996343e+00
1.000000000000000000e+02	7.228196558547449513e+02	1.822561154623237711e-03	1.142097136984670858e+00
1.015000000000000000e+02	7.300403035569627264e+02	1.828138258902325779e-03	1.161745310522343422e+00
1.030000000000000000e+02	7.372610420105643243e+02	1.833932077575136342e-03	1.181605989823382385e+00
1.035000000000000000e+02	7.396679746235862467e+02	1.835875589617427415e-03	1.188228210754607606e+00
1.050000000000000000e+02	7.468888307709107721e+02	1.841875490710243686e-03	1.208298067225639372e+00
1.065000000000000000e+02	7.541097728221628813e+02	1.848027264209685947e-03	1.228503358699848835e+00
1.070000000000000000e+02	7.565167722577776885e+02	1.850120390380423970e-03	1.235261806900339598e+00
1.085000000000000000e+02	7.637378258440537593e+02	1.856420002212741177e-03	1.255645667996012405e+00
1.100000000000000000e+02	7.709589609309623484e+02	1.862834323497579263e-03	1.276158726684987421e+00
1.105000000000000000e+02	7.733660237639516026e+02	1.864979319421610372e-03	1.283020410619648111e+00
1.120000000000000000e+02	7.805872647866899570e+02	1.871457087678963247e-03	1.303636930659778592e+00
1.135000000000000000e+02	7.878085833053088436e+02	1.877951559916961853e-03	1.324312533459607533e+00
1.140000000000000000e+02	7.902157064194310578e+02	1.880128995619554256e-03	1.331222516606679784e+00
1.160000000000000000e+02	7.998442820468724221e+02	1.888844103766994763e-03	1.358924052602712651e+00
1.170000000000000000e+02	8.046586189805170761e+02	1.893184745478598352e-03	1.372761072208546151e+00
1.175000000000000000e+02	8.070657995375142946e+02	1.895317543950494768e-03	1.379683476603909220e+00
1.195000000000000000e+02	8.166946011346233263e+02	1.903937442013222542e-03	1.407422717665168799e+00
1.205000000000000000e+02	8.215090488433777409e+02	1.908202748980451996e-03	1.421297887797707160e+00
1.215000000000000000e+02	8.263235272982577726e+02	1.912432877163350135e-03	1.435137131317853365e+00
1.235000000000000000e+02	8.359525749176265208e+02	1.920731750033931404e-03	1.462762664013160130e+00
1.240000000000000000e+02	8.383598554523427993e+02	1.922788691520806907e-03	1.469677960733954958e+00
1.255000000000000000e+02	8.455817410410538741e+02	1.928849923976359024e-03	1.490308822132214495e+00
1.270000000000000000e+02	8.528036917081585671e+02	1.934780521387828621e-03	1.510834809983894411e+00
1.275000000000000000e+02	8.552110228605563407e+02	1.936726286785793623e-03	1.517672108257813512e+00
1.300000000000000000e+02	8.672477837805229228e+02	1.946173643967734216e-03	1.551634762728509642e+00
1.305000000000000000e+02	8.696551567192927905e+02	1.948026985078946203e-03	1.558391135240936531e+00
1.320000000000000000e+02	8.768773163600081944e+02	1.953404245420321383e-03	1.578561444025772476e+00
1.335000000000000000e+02	8.840995364630654194e+02	1.958570720767133233e-03	1.598563386341509851e+00
1.340000000000000000e+02	8.865069564319754818e+02	1.960261707159688480e-03	1.605198334094520174e+00
1.365000000000000000e+02	8.985441542381117870e+02	1.968336687306288489e-03	1.638093318274555621e+00
1.370000000000000000e+02	9.009516131573914208e+02	1.969875632259525822e-03	1.644588612519225501e+00
1.385000000000000000e+02	9.081740280418811153e+02	1.974352634956695260e-03	1.664016888030962260e+00
1.400000000000000000e+02	9.153964994637212840e+02	1.978573167997016002e-03	1.683215413956762108e+00
1.410000000000000000e+02	9.202115114132174085e+02	1.981253906506348379e-03	1.695884002626157017e+00
1.430000000000000000e+02	9.298416086619592988e+02	1.986305397249649683e-03	1.720942391879922928e+00
1.435000000000000000e+02	9.322491480895326958e+02	1.987488400443332501e-03	1.727137417491090288e+00
1.455000000000000000e+02	9.418793654286045012e+02	1.991953304650594114e-03	1.751637951476377353e+00
1.465000000000000000e+02	9.466945095043625997e+02	1.994010426419527780e-03	1.763712183174993786e+00
1.480000000000000000e+02	9.539172692915285552e+02	1.996882730855252790e-03	1.781595014882989769e+00
1.495000000000000000e+02	9.611400808917983341e+02	1.999491585598236077e-03	1.799210202379665446e+00
1.500000000000000000e+02	9.635476961592424914e+02	2.000292228108233126e-03	1.805029566275585085e+00
1.525000000000000000e+02	9.755858569416102455e+02	2.003865894276576042e-03	1.833579076557551923e+00
1.530000000000000000e+02	9.779935058283521130e+02	2.004489845219527104e-03	1.839184262621127885e+00
1.550000000000000000e+02	9.876241564130782535e+02	2.006683596300194109e-03	1.861293877022000220e+00
1.560000000000000000e+02	9.924395144296132685e+02	2.007599255237551682e-03	1.872140041699444257e+00
1.575000000000000000e+02	9.996625918965406754e+02	2.008743357297114538e-03	1.888148653018043577e+00
1.590000000000000000e+02	1.006885717416756279e+03	2.009636027515617797e-03	1.903830144445211037e+00
1.605000000000000000e+02	1.014108890471970653e+03	2.010251707088327351e-03	1.919204283216209506e+00
1.620000000000000000e+02	1.021332110562529351e+03	2.010597322763992868e-03	1.934243634883259233e+00
1.630000000000000000e+02	1.026147616514691435e+03	2.010680610084502381e-03	1.944084424446127723e+00
1.650000000000000000e+02	1.035778689934466911e+03	2.010515830276180752e-03	1.963319193409976737e+00
1.655000000000000000e+02	1.038186471005583371e+03	2.010402299247372217e-03	1.968044559525399473e+00
1.680000000000000000e+02	1.050225451865065679e+03	2.009436834082981797e-03	1.991081010740613833e+00
1.685000000000000000e+02	1.052633263026739087e+03	2.009163158694522808e-03	1.995570637665935232e+00
1.710000000000000000e+02	1.064672392949062896e+03	2.007408993848308794e-03	2.017475859837722041e+00
1.715000000000000000e+02	1.067080233655566190e+03	2.006978330284564429e-03	2.021756770524918867e+00
1.740000000000000000e+02	1.079119510019060044e+03	2.004470360704801481e-03	2.042556921237935530e+00
1.745000000000000000e+02	1.081527379762877217e+03	2.003899367565629367e-03	2.046604247674939092e+00
1.765000000000000000e+02	1.091158906541204487e+03	2.001376726832938043e-03	2.062430408195804254e+00
1.775000000000000000e+02	1.095974698433912636e+03	1.999967105711374180e-03	2.070121905544413110e+00
1.795000000000000000e+02	1.105606338738159820e+03	1.996936221058820491e-03	2.085085594267707787e+00
1.805000000000000000e+02	1.110422186960169711e+03	1.995300024179175787e-03	2.092349530612437114e+00
1.825000000000000000e+02	1.120053939093986855e+03	1.991773075012579549e-03	2.106435336166239125e+00
1.835000000000000000e+02	1.124869842829203435e+03	1.989905960851721684e-03	2.113273089388470805e+00
1.855000000000000000e+02	1.134501705213284367e+03	1.985957037916491561e-03	2.126533055262390004e+00
1.865000000000000000e+02	1.139317663699244122e+03	1.983893753414039517e-03	2.132960201999754890e+00
1.885000000000000000e+02	1.148949634873414425e+03	1.979573353392682401e-03	2.145405163513518509e+00
1.895000000000000000e+02	1.153765647407165943e+03	1.977319228251990611e-03	2.151422520652455983e+00
1.915000000000000000e+02	1.163397726012545036e+03	1.972674640091799658e-03	2.163082656765046075e+00
1.925000000000000000e+02	1.168213791943353499e+03	1.970276167548965125e-03	2.168717915650196559e+00
1.950000000000000000e+02	1.180254033894487520e+03	1.964092165257724353e-03	2.182255380215089247e+00
1.955000000000000000e+02	1.182662095440562553e+03	1.962824704726348190e-03	2.184870670240098622e+00
1.980000000000000000e+02	1.194702468541823464e+03	1.956347323861244020e-03	2.197495523476092227e+00
1.985000000000000000e+02	1.197110556185187534e+03	1.955033330317012576e-03	2.199934856528797500e+00
2.010000000000000000e+02	1.209151059101469400e+03	1.948335388891692761e-03	2.211684631714959437e+00
