f	min_s_G1	min_s_G2	min_s_G1G2
4.580000000000000000e+02	3.172929156944171769e+00	1.695983163430743739e-04	1.018156307417644797e+02
4.620000000000000000e+02	3.194652853466762643e+00	1.699204451201591554e-04	9.982115257327428992e+01
4.660000000000000000e+02	3.216266380898209931e+00	1.702373714096724975e-04	9.788402263093412614e+01
4.670000000000000000e+02	3.221652845124943099e+00	1.703158097060707317e-04	9.740844389769512190e+01
4.710000000000000000e+02	3.243132209301499813e+00	1.706264653096586177e-04	9.553995585819222924e+01
4.740000000000000000e+02	3.259173007724235127e+00	1.708562726477878021e-04	9.417321833376266227e+01
4.760000000000000000e+02	3.269834729581880595e+00	1.710079966255569951e-04	9.327808704821764252e+01
4.800000000000000000e+02	3.291082415948261453e+00	1.713079723759783389e-04	9.152522075702016480e+01
4.830000000000000000e+02	3.306953099039918964e+00	1.715299853394683740e-04	9.024238996923953948e+01
4.850000000000000000e+02	3.317503133760056677e+00	1.716766122641696761e-04	8.940190495040413055e+01
4.890000000000000000e+02	3.338531552317134388e+00	1.719666240831058449e-04	8.775533770326822491e+01
4.910000000000000000e+02	3.349010535909193287e+00	1.721100409239067369e-04	8.694884102583353069e+01
4.940000000000000000e+02	3.364685816670717422e+00	1.723232234291724311e-04	8.575951486453203643e+01
4.980000000000000000e+02	3.385507111012847403e+00	1.726039188158064663e-04	8.421084560086339366e+01
5.000000000000000000e+02	3.395884526095221734e+00	1.727427786183465897e-04	8.345198825241327256e+01
5.030000000000000000e+02	3.411409925958244216e+00	1.729492479883466957e-04	8.233253842124425148e+01
5.070000000000000000e+02	3.432035954971357938e+00	1.732212137924731053e-04	8.087418052215149089e+01
5.090000000000000000e+02	3.442317681831346565e+00	1.733558006361428697e-04	8.015929456107281226e+01
5.120000000000000000e+02	3.457701958805524001e+00	1.735559717487389450e-04	7.910436968693588256e+01
5.160000000000000000e+02	3.478144281629049761e+00	1.738197409905279398e-04	7.772945804388419333e+01
5.170000000000000000e+02	3.483242585839489092e+00	1.738851351837704341e-04	7.739125413438829071e+01
5.210000000000000000e+02	3.503587729996997080e+00	1.741445632412461423e-04	7.605997394799494771e+01
5.250000000000000000e+02	3.523857593951243317e+00	1.744006210406172180e-04	7.476228417186422348e+01
5.260000000000000000e+02	3.528913550965893542e+00	1.744641191970761887e-04	7.444297841346630662e+01
5.300000000000000000e+02	3.549092346467555448e+00	1.747160865785135088e-04	7.318571265131986081e+01
5.340000000000000000e+02	3.569200677653316500e+00	1.749648753814900064e-04	7.195959064238201108e+01
5.360000000000000000e+02	3.579229074474508110e+00	1.750881028757009608e-04	7.135788952200519475e+01
5.390000000000000000e+02	3.594240187689299315e+00	1.752715127952229337e-04	7.046919068573232892e+01
5.430000000000000000e+02	3.614197583977493355e+00	1.755134369199589782e-04	6.930949107365682949e+01
5.450000000000000000e+02	3.624152243773240745e+00	1.756332956856269608e-04	6.874019400342633901e+01
5.480000000000000000e+02	3.639054891258160840e+00	1.758117297261090485e-04	6.789912280458531768e+01
5.520000000000000000e+02	3.658871617395983655e+00	1.760471593859507303e-04	6.680115500395663730e+01
5.550000000000000000e+02	3.673695131661378177e+00	1.762219065021070270e-04	6.599481214308916321e+01
5.570000000000000000e+02	3.683559343084442883e+00	1.763375507424653208e-04	6.546521649542431476e+01
5.610000000000000000e+02	3.703245327659495878e+00	1.765668255784089841e-04	6.442469731892504115e+01
5.640000000000000000e+02	3.717973614150402284e+00	1.767370500252159833e-04	6.366026637792093368e+01
5.660000000000000000e+02	3.727775671605532359e+00	1.768497224281242401e-04	6.315806902219532049e+01
5.700000000000000000e+02	3.747340505623400819e+00	1.770731546154931553e-04	6.217108095578716842e+01
5.740000000000000000e+02	3.766854485210419767e+00	1.772940837248666531e-04	6.120671425688212963e+01
5.750000000000000000e+02	3.771725245481272637e+00	1.773489313539698003e-04	6.096907671340352408e+01
5.790000000000000000e+02	3.791178182322352708e+00	1.775668083722583060e-04	6.003203109333682619e+01
5.830000000000000000e+02	3.810584269228415533e+00	1.777823027974093518e-04	5.911610877775847683e+01
5.840000000000000000e+02	3.815428674255347818e+00	1.778358100858256979e-04	5.889035485940074466e+01
