Frequency [Hz]	g1_d	g1_q	g2_d	g2_q	g3_d	g3_q	1DC_dc	MMC1_d	MMC1_q	2DC_dc	MMC2_d	MMC2_q	3DC_dc	MMC3_d	MMC3_q
 (2.100000000000000000e+01+0.000000000000000000e+00j)	 (7.203077513473628457e+00-3.731628758626293774e+01j)	 (3.580532981212372956e+00-4.387866761423214257e+01j)	 (-6.072350409862988840e+01+1.723125815381052632e+02j)	 (2.590883199922500602e+00+3.517127322327576167e+01j)	 (2.983759359697706781e+00-1.354743477825134867e+01j)	 (3.135842584554935542e+01+1.476131132140131808e+00j)	 (1.063112542812245653e+00+5.601755219775886196e+00j)	 (5.838029974948866219e-01-2.307002999733504200e+00j)	 (1.019341177242771290e-01+2.072030586321093271e+00j)	 (1.029193052475924353e-01+2.068917998640982248e+00j)	 (3.344833243792301403e+00+2.541239617627842673e+00j)	 (1.013847385667486362e-01-8.472962900700279354e-01j)	 (1.018130627629251495e-01-8.461186159507616544e-01j)	 (1.510507465448374942e-01+7.057879365171157993e-01j)	 (7.998727293564401875e-02-2.991849300417904201e-01j)
 (2.200000000000000000e+01+0.000000000000000000e+00j)	 (6.443374079784669028e+00-3.528761907530351749e+01j)	 (4.047215882223278882e+00-4.178030090759766324e+01j)	 (-6.409170457336870186e+01+1.810257772517495312e+02j)	 (2.645859822383762161e+00+3.565021741170554748e+01j)	 (3.014065724368514942e+00-1.308451037401216333e+01j)	 (3.189756435918372546e+01-7.404210312004433359e-01j)	 (1.080603797058170112e+00+5.677208878172360862e+00j)	 (5.773363677804790317e-01-2.228769710622630296e+00j)	 (1.019464280975295040e-01+2.101202495029312889e+00j)	 (1.029503053397645279e-01+2.098043809034682905e+00j)	 (3.432508245605251140e+00+2.581716413695340329e+00j)	 (1.013591380558238469e-01-8.181563322552776185e-01j)	 (1.017770204149919672e-01-8.170273800292437993e-01j)	 (1.532504843238699788e-01+7.150961494876999502e-01j)	 (7.883532336668884477e-02-2.891075130929101067e-01j)
 (2.300000000000000000e+01+0.000000000000000000e+00j)	 (5.610197900431520779e+00-3.324977624548883171e+01j)	 (4.653072346887149990e+00-3.985082741532252015e+01j)	 (-6.739098455588322167e+01+1.903455373131147610e+02j)	 (2.694952370795167695e+00+3.612837360387536023e+01j)	 (3.040974416667046043e+00-1.262159267160810039e+01j)	 (3.205634498178135772e+01-3.208102271278994166e+00j)	 (1.098105963183305001e+00+5.752509769020353048e+00j)	 (5.709765280740894955e-01-2.150441387633217349e+00j)	 (1.019587116189388659e-01+2.130374798693106531e+00j)	 (1.029813391205868650e-01+2.127170000668543004e+00j)	 (3.523748718082316156e+00+2.622159283464322144e+00j)	 (1.013315941051557423e-01-7.890180286514560937e-01j)	 (1.017390117652745840e-01-7.879378125231630836e-01j)	 (1.554712166809381069e-01+7.243792066030600996e-01j)	 (7.771292463771783954e-02-2.790118173573529758e-01j)
 (2.400000000000000000e+01+0.000000000000000000e+00j)	 (4.802622498193196421e+00-3.112807531339313982e+01j)	 (5.289116488118486892e+00-3.813724286927533313e+01j)	 (-7.058582557406114688e+01+2.003204319695658739e+02j)	 (2.739070680015612158e+00+3.660648909002274110e+01j)	 (3.065074285783821573e+00-1.215832749630405551e+01j)	 (3.171404214829294688e+01-5.862429927260619067e+00j)	 (1.115617854213606153e+00+5.827676136627589543e+00j)	 (5.647414805670745164e-01-2.072005928285260978e+00j)	 (1.019709867451296798e-01+2.159547515683537089e+00j)	 (1.030124270079734311e-01+2.156296603449275207e+00j)	 (3.620152146329282061e+00+2.661861701821741200e+00j)	 (1.013018778474539389e-01-7.598814917418680315e-01j)	 (1.016987976109025305e-01-7.588500372259314730e-01j)	 (1.577117316374729017e-01+7.336370354714890629e-01j)	 (7.662017793244244035e-02-2.688975350909347806e-01j)
 (2.500000000000000000e+01+0.000000000000000000e+00j)	 (4.119245365069247988e+00-2.894805830238059841e+01j)	 (5.850717908373521681e+00-3.658902550367837847e+01j)	 (-7.362248928551861127e+01+2.110067010634835754e+02j)	 (2.779035673978751397e+00+3.708511823717582701e+01j)	 (3.086919555823975259e+00-1.169445132614773541e+01j)	 (3.075361744374784578e+01-8.579624738621557611e+00j)	 (1.133134326165938344e+00+5.902726353272266913e+00j)	 (5.586488972593151026e-01-1.993454046741384378e+00j)	 (1.019832708826145518e-01+2.188720662456247634e+00j)	 (1.030435846501502467e-01+2.185423643014955619e+00j)	 (3.723620236649330284e+00+2.699781422910871420e+00j)	 (1.012697202678823627e-01-7.307468457522084959e-01j)	 (1.016560920608342022e-01-7.297641902015835624e-01j)	 (1.599709076408433739e-01+7.428695590521661174e-01j)	 (7.555724091218542215e-02-2.587642987616218804e-01j)
 (2.600000000000000000e+01+0.000000000000000000e+00j)	 (3.582312552955574159e+00-2.676540170866674373e+01j)	 (6.312829389855507678e+00-3.512761281460720397e+01j)	 (-7.641768888152415684e+01+2.224635890001395353e+02j)	 (2.815593950291475522e+00+3.756468066516578830e+01j)	 (3.107060352716694673e+00-1.122976065362648512e+01j)	 (2.909309487211938716e+01-1.116808568992684769e+01j)	 (1.150645881681317206e+00+5.977680970537155858e+00j)	 (5.527162581358245896e-01-1.914778771979636751e+00j)	 (1.019955808552868159e-01+2.217894255375252310e+00j)	 (1.030748224011307917e-01+2.214551143866237304e+00j)	 (3.836505615032044680e+00+2.734326345509545675e+00j)	 (1.012348048014866664e-01-7.016142265721503346e-01j)	 (1.016105547578830537e-01-7.006804192182316537e-01j)	 (1.622476624568655323e-01+7.520766341803655219e-01j)	 (7.452431836732223425e-02-2.486116813860298480e-01j)
 (2.700000000000000000e+01+0.000000000000000000e+00j)	 (3.178644168785600854e+00-2.460467446062930463e+01j)	 (6.688565708869913529e+00-3.370686977226918657e+01j)	 (-7.884404975993706444e+01+2.347401606776913638e+02j)	 (2.849438910756274979e+00+3.804550239358133723e+01j)	 (3.126091739438359163e+00-1.076409461666790435e+01j)	 (2.672742955166629386e+01-1.337881513611624129e+01j)	 (1.168138185731057099e+00+6.052565374569288004e+00j)	 (5.469610981151705742e-01-1.835975138535224538e+00j)	 (1.020079339548843056e-01+2.247068312625888353e+00j)	 (1.031061449215371767e-01+2.243679132863625636e+00j)	 (3.961794758166686137e+00+2.762962993720931681e+00j)	 (1.011967579935743877e-01-6.724837815986790535e-01j)	 (1.015617808887060852e-01-6.715988830876105098e-01j)	 (1.645408813145922411e-01+7.612579845106329790e-01j)	 (7.352165425031871593e-02-2.384391896949004941e-01j)
 (2.800000000000000000e+01+0.000000000000000000e+00j)	 (2.896280992227260320e+00-2.246723889211396852e+01j)	 (6.992350790749576106e+00-3.230380794428383950e+01j)	 (-8.071595040893259920e+01+2.478469460620846405e+02j)	 (2.881237196589854666e+00+3.852784377409489736e+01j)	 (3.144736931051012707e+00-1.029733844667872589e+01j)	 (2.376725321636395094e+01-1.494522927085840891e+01j)	 (1.185591668282643507e+00+6.127413656227444605e+00j)	 (5.414013839351451418e-01-1.757040085586874412e+00j)	 (1.020203499189887009e-01+2.276242856413271287e+00j)	 (1.031375511145322249e-01+2.272807643867395644e+00j)	 (4.103300490230028075e+00+2.781487488973488631e+00j)	 (1.011551376493344256e-01-6.433556692676249966e-01j)	 (1.015092883681504715e-01-6.425197506013949900e-01j)	 (1.668493057516318712e-01+7.704131175589555847e-01j)	 (7.254952502474135145e-02-2.282462510022674473e-01j)
 (2.900000000000000000e+01+0.000000000000000000e+00j)	 (2.732010756202448931e+00-2.034546171981690676e+01j)	 (7.233698884512302030e+00-3.090170523692690097e+01j)	 (-8.178577917793802499e+01+2.617041883269451432e+02j)	 (2.911661416041730011e+00+3.901191600692895634e+01j)	 (3.163998510321224700e+00-9.829478091152802577e+00j)	 (2.045057921787044819e+01-1.565108773914231044e+01j)	 (1.202981766828955079e+00+6.202274611181175068e+00j)	 (5.360560755450237691e-01-1.677972665824611020e+00j)	 (1.020328547780560424e-01+2.305417915591373657e+00j)	 (1.031690350316798455e-01+2.301936724676135970e+00j)	 (4.265728556713515474e+00+2.782640842731218811e+00j)	 (1.011094176501262654e-01-6.142300579934576454e-01j)	 (1.014525013419715904e-01-6.134431986875420462e-01j)	 (1.691713440484908515e-01+7.795412140174324822e-01j)	 (7.160823299434301847e-02-2.180321936215681988e-01j)
 (3.000000000000000000e+01+0.000000000000000000e+00j)	 (2.690849851018073835e+00-1.822985612037069458e+01j)	 (7.424424128205886042e+00-2.948067750912440488e+01j)	 (-8.177287063468759243e+01+2.760594312246826689e+02j)	 (2.941433287688629328e+00+3.949788489184220452e+01j)	 (3.185442415202314415e+00-9.360811699292669985e+00j)	 (1.710453090840719881e+01-1.540279543158978548e+01j)	 (1.220281225454675322e+00+6.277221163236159640e+00j)	 (5.309459374444878144e-01-1.598774864292377362e+00j)	 (1.020454884338159313e-01+2.334593528413030583e+00j)	 (1.032005898424408763e-01+2.331066448018077164e+00j)	 (4.454112421006250599e+00+2.753463951953943223e+00j)	 (1.010589682121764976e-01-5.851071241054069949e-01j)	 (1.013907286903432403e-01-5.843694092888336300e-01j)	 (1.715047189080554368e-01+7.886409790610341419e-01j)	 (7.069809607194223189e-02-2.077962187212837319e-01j)
