f	min_s_G1	min_s_G2	min_s_G1G2
1.270000000000000000e+02	7.772919247457731329e-01	8.576480003601535560e-05	2.895273173861759460e+03
1.280000000000000000e+02	7.866779252595130778e-01	8.907539055661312924e-05	2.821565384995655677e+03
1.290000000000000000e+02	7.960494097446334516e-01	9.228963202073588732e-05	2.750636333437801113e+03
1.310000000000000000e+02	8.147489903025503244e-01	9.838409907045944918e-05	2.616571234937397094e+03
1.340000000000000000e+02	8.426904900752418826e-01	1.064904789394705128e-04	2.433128059374193072e+03
1.350000000000000000e+02	8.519757166680632654e-01	1.088538349919542105e-04	2.376250163274608894e+03
1.360000000000000000e+02	8.612467052341897800e-01	1.110194213044160116e-04	2.321343012614176587e+03
1.380000000000000000e+02	8.797461216712633147e-01	1.146860684049209346e-04	2.217085555146407387e+03
1.410000000000000000e+02	9.073894033869749354e-01	1.182783342676485490e-04	2.073384840416724728e+03
1.420000000000000000e+02	9.165757498129097902e-01	1.189158975760788603e-04	2.028575823721789448e+03
1.430000000000000000e+02	9.257481134864220529e-01	1.192626356631666868e-04	1.985202255636959990e+03
1.460000000000000000e+02	9.531816363276821580e-01	1.186006187732955376e-04	1.863101639918044839e+03
1.480000000000000000e+02	9.714013233200974318e-01	1.168990230661473605e-04	1.787844860977216058e+03
1.490000000000000000e+02	9.804904568138840260e-01	1.157511437266919082e-04	1.751911992040522364e+03
1.510000000000000000e+02	9.986274412471277673e-01	1.130720393519352347e-04	1.683215823265077233e+03
1.540000000000000000e+02	1.025730093323854009e+00	1.086923303259220607e-04	1.587495045154999843e+03
1.550000000000000000e+02	1.034736985456077063e+00	1.073018624434372311e-04	1.557394243769384957e+03
1.560000000000000000e+02	1.043730251441949086e+00	1.060013694846720150e-04	1.528140351315431190e+03
1.590000000000000000e+02	1.070628491153747364e+00	1.028412852101165918e-04	1.445153585342802216e+03
1.610000000000000000e+02	1.088492867065464109e+00	1.014363173890428863e-04	1.393525233165193640e+03
1.620000000000000000e+02	1.097404769150919002e+00	1.009400560729110637e-04	1.368741497632339588e+03
1.650000000000000000e+02	1.124059503709698093e+00	1.001649189479559638e-04	1.298228347738018556e+03
1.670000000000000000e+02	1.141761975405087171e+00	1.001260173794481646e-04	1.254201337787692637e+03
1.680000000000000000e+02	1.150593038800107326e+00	1.002154714668686942e-04	1.233022122524235783e+03
1.710000000000000000e+02	1.177005648549742878e+00	1.008051053357784921e-04	1.172602825038327410e+03
1.730000000000000000e+02	1.194546980150795745e+00	1.013928217496883635e-04	1.134754286768867814e+03
1.740000000000000000e+02	1.203297542211829274e+00	1.017285166399543953e-04	1.116512560493659066e+03
1.770000000000000000e+02	1.229468869470655479e+00	1.028587284261832737e-04	1.064347013412677370e+03
1.790000000000000000e+02	1.246849488919190341e+00	1.036893826686800579e-04	1.031571857686091334e+03
1.800000000000000000e+02	1.255519725950703380e+00	1.041223509736053526e-04	1.015748136323078256e+03
1.830000000000000000e+02	1.281450158819247065e+00	1.054768910278426727e-04	9.703979191740251053e+02
1.850000000000000000e+02	1.298670215786223991e+00	1.064170032080883032e-04	9.418280803633981577e+02
1.860000000000000000e+02	1.307260172394157038e+00	1.068959404129142879e-04	9.280131009348422140e+02
1.890000000000000000e+02	1.332949733686537908e+00	1.083610374623909383e-04	8.883406815217366557e+02
1.910000000000000000e+02	1.350009159062360187e+00	1.093560994885640490e-04	8.632864233828427132e+02
1.930000000000000000e+02	1.367014995797316113e+00	1.103614518694850900e-04	8.392752230653593415e+02
1.960000000000000000e+02	1.392423204184140895e+00	1.118814935716115416e-04	8.050903327252568715e+02
1.970000000000000000e+02	1.400865777041737426e+00	1.123898543909287854e-04	7.941574871735926990e+02
1.990000000000000000e+02	1.417710649199964479e+00	1.134070047165022067e-04	7.729480227142704507e+02
2.020000000000000000e+02	1.442877196498489889e+00	1.149290771889451874e-04	7.426887945125190527e+02
2.030000000000000000e+02	1.451239154600150405e+00	1.154342973234886847e-04	7.329955133641448128e+02
2.060000000000000000e+02	1.476244278158701961e+00	1.169398686665292647e-04	7.050250871147439966e+02
2.080000000000000000e+02	1.492847011535249901e+00	1.179328328466961172e-04	6.872562029073874328e+02
2.100000000000000000e+02	1.509395812477362320e+00	1.189154668626785034e-04	6.701491088333964399e+02
2.130000000000000000e+02	1.534117791489537863e+00	1.203703190995892962e-04	6.456588772677132511e+02
2.140000000000000000e+02	1.542331436261176636e+00	1.208510737846219929e-04	6.377924504489417359e+02
2.170000000000000000e+02	1.566891250453264162e+00	1.222775403666385150e-04	6.150347179523032537e+02
2.190000000000000000e+02	1.583196808347974827e+00	1.232100053770361181e-04	6.005312237040528771e+02
2.210000000000000000e+02	1.599448199455406172e+00	1.241262930173237943e-04	5.865334140132916900e+02
2.240000000000000000e+02	1.623723644968774193e+00	1.254711294479295266e-04	5.664343997074712433e+02
2.250000000000000000e+02	1.631788339369214746e+00	1.259116356521613404e-04	5.599632365920710981e+02
2.290000000000000000e+02	1.663911417107146962e+00	1.276352003136245678e-04	5.351536246229223934e+02
2.300000000000000000e+02	1.671908246124281572e+00	1.280565485424921453e-04	5.292081109947066579e+02
2.330000000000000000e+02	1.695817235627709030e+00	1.292979852820144021e-04	5.119524361076232140e+02
2.350000000000000000e+02	1.711688628610205321e+00	1.301069758384986342e-04	5.009119107190488762e+02
2.370000000000000000e+02	1.727505662691013466e+00	1.309012193459841377e-04	4.902236123290644514e+02
2.400000000000000000e+02	1.751129280925458387e+00	1.320650441142586905e-04	4.748193796591780824e+02
2.410000000000000000e+02	1.758976638437390383e+00	1.324456221466626348e-04	4.698451802072568739e+02
2.450000000000000000e+02	1.790230181862123349e+00	1.339307545757219069e-04	4.507075378329216164e+02
2.460000000000000000e+02	1.798009604102539960e+00	1.342926834849246032e-04	4.461052130427438556e+02
2.500000000000000000e+02	1.828991512701035882e+00	1.357030426712446962e-04	4.283809053262506268e+02
2.510000000000000000e+02	1.836703061524878722e+00	1.360463939753740173e-04	4.241142975673830051e+02
2.540000000000000000e+02	1.859756346687729600e+00	1.370547929154756074e-04	4.116886970614434631e+02
2.560000000000000000e+02	1.875057453247651607e+00	1.377093974421647019e-04	4.037047740018917352e+02
2.590000000000000000e+02	1.897907606360978550e+00	1.386653840815510431e-04	3.921558098251256865e+02
2.610000000000000000e+02	1.913073450845410362e+00	1.392853049067750725e-04	3.847285993140540086e+02
2.630000000000000000e+02	1.928185294804080963e+00	1.398912499161550783e-04	3.775095816090463927e+02
2.660000000000000000e+02	1.950751962017278629e+00	1.407837449043045368e-04	3.670546549014640618e+02
2.680000000000000000e+02	1.965729119351930398e+00	1.413659059613424438e-04	3.603231699858102388e+02
2.710000000000000000e+02	1.988094135013907859e+00	1.422154062641692036e-04	3.505664857904336600e+02
2.720000000000000000e+02	1.995522327151798114e+00	1.424927457911534198e-04	3.474018115046978323e+02
2.760000000000000000e+02	2.025101360694448793e+00	1.435749786012132658e-04	3.351603590546837950e+02
2.770000000000000000e+02	2.032462751640409682e+00	1.438390009868586149e-04	3.322006485578550041e+02
2.810000000000000000e+02	2.061775272484998478e+00	1.448701305411440163e-04	3.207436457579505031e+02
2.820000000000000000e+02	2.069070217896056274e+00	1.451218479044531469e-04	3.179715785295516639e+02
2.860000000000000000e+02	2.098117744492003833e+00	1.461054404272354513e-04	3.072334201557133611e+02
2.870000000000000000e+02	2.105346647789394066e+00	1.463456751330517952e-04	3.046334671868955297e+02
2.910000000000000000e+02	2.134130888006338100e+00	1.472848572310265277e-04	2.945552653417292390e+02
2.920000000000000000e+02	2.141294199501965423e+00	1.475143574110368669e-04	2.921134713481116592e+02
2.960000000000000000e+02	2.169817046610592381e+00	1.484120085893777185e-04	2.826422468511148054e+02
2.970000000000000000e+02	2.176915262378893878e+00	1.486314676411284107e-04	2.803460427314279855e+02
3.010000000000000000e+02	2.205178790087959140e+00	1.494902625592977696e-04	2.714340277772101331e+02
3.020000000000000000e+02	2.212212450620214543e+00	1.497003253483318054e-04	2.692720686294377401e+02
3.060000000000000000e+02	2.240218907312877761e+00	1.505227540780989203e-04	2.608761035871010563e+02
3.080000000000000000e+02	2.254145563952623998e+00	1.509235973937860962e-04	2.568238052556287698e+02
3.110000000000000000e+02	2.274940398285146159e+00	1.515123984922155662e-04	2.509191384947475285e+02
3.130000000000000000e+02	2.288740490078584155e+00	1.518968723139876961e-04	2.470944559305751227e+02
3.160000000000000000e+02	2.309346465457640996e+00	1.524619041111507217e-04	2.415183882767395858e+02
