Frequency [Hz]	d axis	q axis
 (6.050000000000000000e+01+0.000000000000000000e+00j)	 (6.352018593389658907e-01-2.456007757582276407e-02j)	 (3.647981406610339983e-01+2.456007757582276407e-02j)
 (6.150000000000000000e+01+0.000000000000000000e+00j)	 (6.243194798752184083e-01-2.267559899868012291e-02j)	 (3.756805201247815362e-01+2.267559899868012638e-02j)
 (6.250000000000000000e+01+0.000000000000000000e+00j)	 (6.140814901821887162e-01-2.074512442033779255e-02j)	 (3.859185098178112838e-01+2.074512442033778908e-02j)
 (6.300000000000000000e+01+0.000000000000000000e+00j)	 (6.091807613029095458e-01-1.976954274368726561e-02j)	 (3.908192386970905652e-01+1.976954274368726908e-02j)
 (6.350000000000000000e+01+0.000000000000000000e+00j)	 (6.044199547214617052e-01-1.878383141350801686e-02j)	 (3.955800452785382393e-01+1.878383141350802032e-02j)
 (6.450000000000000000e+01+0.000000000000000000e+00j)	 (5.952853983970383123e-01-1.678263105847612596e-02j)	 (4.047146016029615212e-01+1.678263105847612596e-02j)
 (6.550000000000000000e+01+0.000000000000000000e+00j)	 (5.866405536573503499e-01-1.476451699084325650e-02j)	 (4.133594463426495391e-01+1.476451699084325650e-02j)
 (6.650000000000000000e+01+0.000000000000000000e+00j)	 (5.784353759818645635e-01-1.271103208900219855e-02j)	 (4.215646240181354365e-01+1.271103208900219855e-02j)
 (6.750000000000000000e+01+0.000000000000000000e+00j)	 (5.706394134073233815e-01-1.064260569725428845e-02j)	 (4.293605865926765630e-01+1.064260569725428672e-02j)
 (6.800000000000000000e+01+0.000000000000000000e+00j)	 (5.668834341939503751e-01-9.600510537443608314e-03j)	 (4.331165658060496804e-01+9.600510537443608314e-03j)
 (6.900000000000000000e+01+0.000000000000000000e+00j)	 (5.596381131360337324e-01-7.505419163194144115e-03j)	 (4.403618868639662676e-01+7.505419163194143248e-03j)
 (7.000000000000000000e+01+0.000000000000000000e+00j)	 (5.527229616135711510e-01-5.395357076203342178e-03j)	 (4.472770383864289045e-01+5.395357076203341311e-03j)
 (7.100000000000000000e+01+0.000000000000000000e+00j)	 (5.461153337099249327e-01-3.272906620911359993e-03j)	 (4.538846662900751228e-01+3.272906620911360427e-03j)
 (7.200000000000000000e+01+0.000000000000000000e+00j)	 (5.397913732447503499e-01-1.138854130267001521e-03j)	 (4.602086267552497612e-01+1.138854130267002388e-03j)
 (7.250000000000000000e+01+0.000000000000000000e+00j)	 (5.367295984638986717e-01-7.032715927418348861e-05j)	 (4.632704015361012728e-01+7.032715927418392229e-05j)
 (7.350000000000000000e+01+0.000000000000000000e+00j)	 (5.307945076300061293e-01+2.074958217731429251e-03j)	 (4.692054923699938151e-01-2.074958217731429685e-03j)
 (7.450000000000000000e+01+0.000000000000000000e+00j)	 (5.250945987127537684e-01+4.226551263646235318e-03j)	 (4.749054012872463981e-01-4.226551263646236185e-03j)
 (7.600000000000000000e+01+0.000000000000000000e+00j)	 (5.169541186556699808e-01+7.459019550469064321e-03j)	 (4.830458813443299082e-01-7.459019550469065188e-03j)
 (7.650000000000000000e+01+0.000000000000000000e+00j)	 (5.143413897426237780e-01+8.538055761519839498e-03j)	 (4.856586102573762775e-01-8.538055761519837764e-03j)
 (7.700000000000000000e+01+0.000000000000000000e+00j)	 (5.117772032846708008e-01+9.617798513176884986e-03j)	 (4.882227967153291437e-01-9.617798513176883252e-03j)
 (7.850000000000000000e+01+0.000000000000000000e+00j)	 (5.043548256103990157e-01+1.285850845109002237e-02j)	 (4.956451743896009288e-01-1.285850845109002064e-02j)
 (7.950000000000000000e+01+0.000000000000000000e+00j)	 (4.996192562411283511e-01+1.501833759975293274e-02j)	 (5.003807437588717599e-01-1.501833759975293621e-02j)
 (8.050000000000000000e+01+0.000000000000000000e+00j)	 (4.950397455083790921e-01+1.717666377228730876e-02j)	 (5.049602544916208524e-01-1.717666377228731223e-02j)
 (8.100000000000000000e+01+0.000000000000000000e+00j)	 (4.928049558652339290e-01+1.825472772282698761e-02j)	 (5.071950441347662375e-01-1.825472772282699108e-02j)
