Frequency [Hz]	d axis	q axis
 (2.900000000000000000e+01+0.000000000000000000e+00j)	 (1.910147809636788452e+01+1.690779758243475897e+02j)	 (-1.233031852874811847e+02+6.024236594240477416e+02j)
 (2.950000000000000000e+01+0.000000000000000000e+00j)	 (1.902868561328964248e+01+1.788492508928841005e+02j)	 (-1.299243259667026678e+02+6.243973655180670903e+02j)
 (3.000000000000000000e+01+0.000000000000000000e+00j)	 (1.903270457799185422e+01+1.888855677839157750e+02j)	 (-1.372848992994953505e+02+6.482392475090493917e+02j)
 (3.050000000000000000e+01+0.000000000000000000e+00j)	 (1.912654323911913679e+01+1.991908418366764693e+02j)	 (-1.454630885615488864e+02+6.741848812112604037e+02j)
 (3.100000000000000000e+01+0.000000000000000000e+00j)	 (1.931890015611087108e+01+2.097533511848621401e+02j)	 (-1.547031097409428924e+02+7.025874690790285513e+02j)
 (3.150000000000000000e+01+0.000000000000000000e+00j)	 (1.961507995753807165e+01+2.205605360544410587e+02j)	 (-1.651894498202353816e+02+7.338963869539090865e+02j)
 (3.200000000000000000e+01+0.000000000000000000e+00j)	 (2.002989456652804989e+01+2.316042977112287247e+02j)	 (-1.771069370193246471e+02+7.686040216655536597e+02j)
 (3.250000000000000000e+01+0.000000000000000000e+00j)	 (2.057402165092170065e+01+2.428733968206788916e+02j)	 (-1.908236789210567679e+02+8.072153233539817165e+02j)
 (3.300000000000000000e+01+0.000000000000000000e+00j)	 (2.125123809701638322e+01+2.543483714346166380e+02j)	 (-2.067629299916389698e+02+8.505671960641069518e+02j)
 (3.350000000000000000e+01+0.000000000000000000e+00j)	 (2.207180854653716651e+01+2.660019648298286938e+02j)	 (-2.254757922149997853e+02+8.995634349473887141e+02j)
 (3.400000000000000000e+01+0.000000000000000000e+00j)	 (2.303925494747347713e+01+2.778159189911168596e+02j)	 (-2.476190191542786465e+02+9.553806722393545670e+02j)
 (3.450000000000000000e+01+0.000000000000000000e+00j)	 (2.416499834512404021e+01+2.897742505692303894e+02j)	 (-2.741291896851606680e+02+1.019453696237602230e+03j)
 (3.500000000000000000e+01+0.000000000000000000e+00j)	 (2.544902613153720594e+01+3.018450486505849995e+02j)	 (-3.064233549541098682e+02+1.093715981588586828e+03j)
