f	lambda_1	lambda_2
 (4.500000000000000000e+01+0.000000000000000000e+00j)	 (-4.850799897971212055e-02+3.364366527450794730e-02j)	 (-7.454857888924467657e-01+7.855716800058297478e-02j)
 (4.550000000000000000e+01+0.000000000000000000e+00j)	 (-5.538335442675834663e-02+3.735845871611105651e-02j)	 (-7.775046213732406120e-01+8.008561523468325782e-02j)
 (4.600000000000000000e+01+0.000000000000000000e+00j)	 (-6.314117696564140736e-02+4.173679884425959830e-02j)	 (-8.173083945156899288e-01+8.112174295685453673e-02j)
 (4.650000000000000000e+01+0.000000000000000000e+00j)	 (-7.195943850212856152e-02+4.691803397624008665e-02j)	 (-8.684326070025643052e-01+8.159069787713260635e-02j)
 (4.750000000000000000e+01+0.000000000000000000e+00j)	 (-9.349548060009113537e-02+6.055506436000081261e-02j)	 (-1.033727517185105471e+00+8.048273396377059186e-02j)
 (4.800000000000000000e+01+0.000000000000000000e+00j)	 (-1.067251815809139442e-01+6.961412791660542831e-02j)	 (-1.180828492383774853e+00+7.887013789109501016e-02j)
 (4.900000000000000000e+01+0.000000000000000000e+00j)	 (-1.396908912059570684e-01+9.383381419680669744e-02j)	 (-1.936585023013768891e+00+7.763719751930887869e-02j)
 (4.950000000000000000e+01+0.000000000000000000e+00j)	 (-1.601857027671094169e-01+1.094328360231240915e-01j)	 (-3.481302792881631358e+00+9.392100793694803385e-02j)
 (5.050000000000000000e+01+0.000000000000000000e+00j)	 (2.803914867550758583e+00-4.012073356385546796e-02j)	 (-2.112177628792934192e-01+1.453465699398335809e-01j)
 (5.150000000000000000e+01+0.000000000000000000e+00j)	 (7.759708085338801187e-01-2.592264202562089698e-02j)	 (-2.728044013199243389e-01+1.771013694380029202e-01j)
 (5.200000000000000000e+01+0.000000000000000000e+00j)	 (5.419941225064625057e-01-2.732350690276286881e-02j)	 (-3.033327250660124985e-01+1.881402897743118530e-01j)
 (5.250000000000000000e+01+0.000000000000000000e+00j)	 (4.096165774384666891e-01-2.771697768063222794e-02j)	 (-3.313773267372344122e-01+1.961933326585403037e-01j)
 (5.300000000000000000e+01+0.000000000000000000e+00j)	 (3.262092439676701483e-01-2.691057728586231795e-02j)	 (-3.563135838559080559e-01+2.023099839788483345e-01j)
 (5.400000000000000000e+01+0.000000000000000000e+00j)	 (2.285555656920906509e-01-2.355890358385186872e-02j)	 (-3.975445757459725726e-01+2.114941285379383917e-01j)
 (5.500000000000000000e+01+0.000000000000000000e+00j)	 (1.736946416094005130e-01-1.953536301609191950e-02j)	 (-4.296644940265772483e-01+2.192121995009367330e-01j)
 (5.550000000000000000e+01+0.000000000000000000e+00j)	 (1.543622290527604801e-01-1.755197075147472280e-02j)	 (-4.431452679914402726e-01+2.229567455533957299e-01j)
