Frequency [Hz]	0.0+det[I + L(s)]
 (1.305000000000000000e+02+0.000000000000000000e+00j)	 (-1.351717684718342916e-01+1.079324820747588509e+00j)
 (1.320000000000000000e+02+0.000000000000000000e+00j)	 (-1.575932249691036624e-01+1.099560941437717210e+00j)
 (1.335000000000000000e+02+0.000000000000000000e+00j)	 (-1.806157868277862566e-01+1.120207172433237419e+00j)
 (1.340000000000000000e+02+0.000000000000000000e+00j)	 (-1.884371865535172386e-01+1.127189539217715142e+00j)
 (1.365000000000000000e+02+0.000000000000000000e+00j)	 (-2.285326904657915548e-01+1.163013945386996317e+00j)
 (1.370000000000000000e+02+0.000000000000000000e+00j)	 (-2.367735344507603257e-01+1.170340362992407623e+00j)
 (1.385000000000000000e+02+0.000000000000000000e+00j)	 (-2.618689592245759257e-01+1.192818681873056397e+00j)
 (1.400000000000000000e+02+0.000000000000000000e+00j)	 (-2.875858167402181031e-01+1.215930853354371566e+00j)
 (1.410000000000000000e+02+0.000000000000000000e+00j)	 (-3.050834231702880261e-01+1.231717122113292984e+00j)
 (1.430000000000000000e+02+0.000000000000000000e+00j)	 (-3.408829381191403884e-01+1.264355808531213876e+00j)
 (1.435000000000000000e+02+0.000000000000000000e+00j)	 (-3.499913768817733972e-01+1.272741233112578918e+00j)
 (1.455000000000000000e+02+0.000000000000000000e+00j)	 (-3.871016916186422741e-01+1.307221002715589719e+00j)
 (1.465000000000000000e+02+0.000000000000000000e+00j)	 (-4.060336842208825958e-01+1.325067513022995414e+00j)
 (1.480000000000000000e+02+0.000000000000000000e+00j)	 (-4.349043295275204501e-01+1.352632602989475519e+00j)
 (1.495000000000000000e+02+0.000000000000000000e+00j)	 (-4.642885247333103926e-01+1.381225117397429258e+00j)
 (1.500000000000000000e+02+0.000000000000000000e+00j)	 (-4.741703386484467653e-01+1.390998965236157847e+00j)
 (1.525000000000000000e+02+0.000000000000000000e+00j)	 (-5.244410098972794865e-01+1.441666860321897392e+00j)
 (1.530000000000000000e+02+0.000000000000000000e+00j)	 (-5.346452746785020915e-01+1.452180867748464888e+00j)
 (1.550000000000000000e+02+0.000000000000000000e+00j)	 (-5.758388959683030661e-01+1.495599686955790819e+00j)
 (1.560000000000000000e+02+0.000000000000000000e+00j)	 (-5.966694692824101587e-01+1.518130692048628605e+00j)
 (1.575000000000000000e+02+0.000000000000000000e+00j)	 (-6.281606936613582937e-01+1.553001844995367753e+00j)
 (1.590000000000000000e+02+0.000000000000000000e+00j)	 (-6.599251656941615973e-01+1.589194600484148401e+00j)
 (1.605000000000000000e+02+0.000000000000000000e+00j)	 (-6.918431448992471422e-01+1.626773728272594255e+00j)
 (1.620000000000000000e+02+0.000000000000000000e+00j)	 (-7.238894717920874022e-01+1.665751502462276656e+00j)
 (1.630000000000000000e+02+0.000000000000000000e+00j)	 (-7.452990048774837950e-01+1.692522125604300376e+00j)
 (1.650000000000000000e+02+0.000000000000000000e+00j)	 (-7.881491415937259548e-01+1.748016827104857063e+00j)
 (1.655000000000000000e+02+0.000000000000000000e+00j)	 (-7.988284766311388729e-01+1.762314846428431947e+00j)
 (1.680000000000000000e+02+0.000000000000000000e+00j)	 (-8.521058275716338892e-01+1.836274652574775956e+00j)
 (1.685000000000000000e+02+0.000000000000000000e+00j)	 (-8.627166333393554432e-01+1.851566918971382369e+00j)
 (1.710000000000000000e+02+0.000000000000000000e+00j)	 (-9.152958334785007422e-01+1.930617484777531478e+00j)
 (1.715000000000000000e+02+0.000000000000000000e+00j)	 (-9.256765771521362485e-01+1.946956333989501742e+00j)
 (1.740000000000000000e+02+0.000000000000000000e+00j)	 (-9.770159008688410474e-01+2.031185378327114766e+00j)
 (1.745000000000000000e+02+0.000000000000000000e+00j)	 (-9.871457716764926449e-01+2.048541539431535163e+00j)
 (1.765000000000000000e+02+0.000000000000000000e+00j)	 (-1.026951289984245452e+00+2.119739258247355096e+00j)
 (1.775000000000000000e+02+0.000000000000000000e+00j)	 (-1.046424489782002309e+00+2.156365952261117602e+00j)
 (1.795000000000000000e+02+0.000000000000000000e+00j)	 (-1.084512060835910008e+00+2.231669868898899178e+00j)
 (1.805000000000000000e+02+0.000000000000000000e+00j)	 (-1.103058777221339382e+00+2.270331621374904074e+00j)
 (1.825000000000000000e+02+0.000000000000000000e+00j)	 (-1.139001885626603539e+00+2.349636400589122154e+00j)
 (1.835000000000000000e+02+0.000000000000000000e+00j)	 (-1.156362823410338025e+00+2.390284240261212112e+00j)
 (1.855000000000000000e+02+0.000000000000000000e+00j)	 (-1.189752774888421571e+00+2.473501347282685892e+00j)
 (1.865000000000000000e+02+0.000000000000000000e+00j)	 (-1.205775593084787323e+00+2.516052407655580581e+00j)
 (1.885000000000000000e+02+0.000000000000000000e+00j)	 (-1.236282871551772411e+00+2.602992803334201355e+00j)
 (1.895000000000000000e+02+0.000000000000000000e+00j)	 (-1.250726405543762576e+00+2.647358162319008557e+00j)
 (1.915000000000000000e+02+0.000000000000000000e+00j)	 (-1.277990568907091395e+00+2.737808832009034354e+00j)
 (1.925000000000000000e+02+0.000000000000000000e+00j)	 (-1.290750320479051805e+00+2.783865233228467684e+00j)
 (1.950000000000000000e+02+0.000000000000000000e+00j)	 (-1.319984738150066228e+00+2.901318088658760175e+00j)
 (1.955000000000000000e+02+0.000000000000000000e+00j)	 (-1.325352598537406390e+00+2.925190231765661952e+00j)
 (1.980000000000000000e+02+0.000000000000000000e+00j)	 (-1.349704981056035313e+00+3.046331498075515842e+00j)
 (1.985000000000000000e+02+0.000000000000000000e+00j)	 (-1.354089628877537033e+00+3.070902005251942679e+00j)
 (2.010000000000000000e+02+0.000000000000000000e+00j)	 (-1.373285995303277662e+00+3.195348471860699036e+00j)
 (2.015000000000000000e+02+0.000000000000000000e+00j)	 (-1.376567294670247854e+00+3.220539016653701125e+00j)
 (2.040000000000000000e+02+0.000000000000000000e+00j)	 (-1.390322906404473091e+00+3.347872167553402445e+00j)
 (2.045000000000000000e+02+0.000000000000000000e+00j)	 (-1.392512945177503125e+00+3.373596463076324437e+00j)
 (2.070000000000000000e+02+0.000000000000000000e+00j)	 (-1.400606643789666927e+00+3.503384182888126475e+00j)
 (2.080000000000000000e+02+0.000000000000000000e+00j)	 (-1.402487707352981561e+00+3.555782449603416051e+00j)
 (2.100000000000000000e+02+0.000000000000000000e+00j)	 (-1.403865436770405095e+00+3.661327182066226538e+00j)
 (2.115000000000000000e+02+0.000000000000000000e+00j)	 (-1.402806665025136290e+00+3.741049806048345250e+00j)
 (2.130000000000000000e+02+0.000000000000000000e+00j)	 (-1.399957365417795474e+00+3.821160893699858896e+00j)
 (2.150000000000000000e+02+0.000000000000000000e+00j)	 (-1.393330097831794845e+00+3.928489644729369790e+00j)
 (2.160000000000000000e+02+0.000000000000000000e+00j)	 (-1.388779745639611818e+00+3.982326983185702662e+00j)
 (2.185000000000000000e+02+0.000000000000000000e+00j)	 (-1.373875925377439966e+00+4.117247046129993926e+00j)
 (2.190000000000000000e+02+0.000000000000000000e+00j)	 (-1.370311088236583652e+00+4.144270553111009114e+00j)
 (2.215000000000000000e+02+0.000000000000000000e+00j)	 (-1.349294946069888201e+00+4.279425371341237572e+00j)
 (2.220000000000000000e+02+0.000000000000000000e+00j)	 (-1.344485054628476339e+00+4.306441517990187151e+00j)
 (2.245000000000000000e+02+0.000000000000000000e+00j)	 (-1.317434334547137986e+00+4.441380625768671209e+00j)
 (2.255000000000000000e+02+0.000000000000000000e+00j)	 (-1.305200991616056072e+00+4.495222219540795372e+00j)
 (2.275000000000000000e+02+0.000000000000000000e+00j)	 (-1.278367978284320028e+00+4.602597499825229477e+00j)
 (2.290000000000000000e+02+0.000000000000000000e+00j)	 (-1.256189230496881581e+00+4.682778882610519666e+00j)
 (2.305000000000000000e+02+0.000000000000000000e+00j)	 (-1.232274812273897791e+00+4.762594684154242586e+00j)
 (2.330000000000000000e+02+0.000000000000000000e+00j)	 (-1.188618113244304109e+00+4.894648978217300161e+00j)
 (2.335000000000000000e+02+0.000000000000000000e+00j)	 (-1.179321646972962156e+00+4.920882954778289964e+00j)
 (2.360000000000000000e+02+0.000000000000000000e+00j)	 (-1.130091268237020330e+00+5.051175051406065819e+00j)
 (2.370000000000000000e+02+0.000000000000000000e+00j)	 (-1.109133247126641519e+00+5.102823681884291140e+00j)
